Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Total Shots,Shot On Target,Shots On Target %,Total Passes,Accurate Passes,Accurate Passes %,"Possession, %",Total Losses,Low Losses,Medium Losses,High Losses,Total Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Total Duels,Duels Won,Duels Won %,Total Crosses,Accurate Crosses,Accurate Crosses %,Touches in penalty area,Total Offensive Duels,Offensive Duels Won,,Total Shots Against,Shots Against On Target,Shots Against On Target %,Total Defensive Duels,Defensive Duels Won,Defensive Duels Won %,Total Forward Passes,Accurate Forward Passes,Accurate Forward Passes %,Total Passes To The Final Third,Accurate Passes To The Final Third,Accurate Passes To The Final Third %,Total Progressive Passes,Accurate Progressive Passes,Accurate Progressive Passes %,Match tempo,Average passes per possession,PPDA
Bollstanäs,,,,,,0.88,1.15,10.04,3.69,36.78,329.31,233.92,71.03,43.19,132.50,32.42,49.69,50.38,90.88,44.81,33.38,12.69,231.15,108.54,46.96,12.54,3.62,28.83,12.65,85.00,24.96,29.37,16.58,6.69,40.37,97.35,64.12,65.86,136.65,78.04,57.11,44.62,22.31,50.00,72.92,37.81,51.85,14.93,2.57,10.02
Opponents,,,,,,2.12,2.08,16.58,6.31,38.05,458.69,353.12,76.98,56.81,137.19,21.19,47.23,68.77,91.50,34.46,37.73,19.31,231.15,115.69,50.05,23.12,6.96,30.12,28.88,97.31,33.19,34.11,10.04,3.92,39.08,85.00,60.04,70.63,172.85,115.96,67.09,60.12,38.27,63.66,82.00,54.73,66.74,15.71,3.42,6.93
2025-11-15,Trelleborgs - Bollstanäs 3:1,Sweden. Elitettan,95,Bollstanäs,4-4-2 (100.0%),1,0.97,12,5,41.67,297,196,65.99,35.61,130,34,40,56,95,49,38,8,218,136,62.39,11,4,36.36,8,49,16,32.65,15,7,46.67,129,98,75.97,129,63,48.84,55,22,40,63,37,58.73,14.66,2.25,13.75
,,,,Trelleborgs,4-2-3-1 (71.85%),3,1.72,15,7,46.67,564,464,82.27,64.39,134,14,53,67,87,37,35,15,218,76,34.86,26,3,11.54,31,129,31,24.03,12,6,50,49,33,67.35,192,149,77.6,54,42,77.78,93,66,70.97,15.39,3.89,8.58
2025-11-08,Bollstanäs - KIF Örebro 1:2,Sweden. Elitettan,99,Bollstanäs,4-3-1-2 (100.0%),1,1.35,6,2,33.33,297,166,55.89,31.65,164,42,68,54,93,41,38,14,217,108,49.77,10,3,30,8,60,11,18.33,20,9,45,102,74,72.55,145,60,41.38,43,13,30.23,88,31,35.23,17.64,2.4,12.11
,,,,KIF Örebro,4-1-3-2 (77.3%),2,2.02,20,7,35,654,533,81.5,68.35,161,17,63,81,112,34,60,18,217,100,46.08,10,1,10,15,102,28,27.45,6,2,33.33,60,49,81.67,237,166,70.04,83,57,68.67,103,78,75.73,17.99,4.67,5.7
2025-11-01,Bollstanäs - Gamla Upsala 2:1,Sweden. Elitettan,98,Bollstanäs,4-4-2 (92.25%),2,1.8,17,4,23.53,342,249,72.81,46.01,123,18,53,52,98,36,41,21,253,94,37.15,10,3,30,24,106,29,27.36,10,4,40,93,43,46.24,136,77,56.62,53,24,45.28,65,41,63.08,14,2.41,8.21
,,,,Gamla Upsala,3-4-2-1 (48.16%),1,0.97,10,4,40,475,358,75.37,53.99,135,27,59,49,77,32,36,9,253,155,61.26,19,6,31.58,20,93,50,53.76,17,4,23.53,106,77,72.64,165,98,59.39,41,17,41.46,73,34,46.58,16.57,3.83,6.78
2025-10-19,Sunnanå - Bollstanäs 1:2,Sweden. Elitettan,100,Bollstanäs,4-1-3-2 (70.19%),2,1.98,11,5,45.45,317,216,68.14,48.68,147,35,48,64,96,46,41,9,255,130,50.98,11,2,18.18,14,88,28,31.82,16,6,37.5,110,73,66.36,156,81,51.92,56,29,51.79,68,36,52.94,15.22,2.28,6.67
,,,,Sunnanå,4-1-4-1 (100.0%),1,1.88,16,5,31.25,329,229,69.6,51.32,143,15,53,75,85,35,27,23,255,117,45.88,24,10,41.67,22,110,37,33.64,11,6,54.55,88,60,68.18,142,86,60.56,52,29,55.77,79,53,67.09,14.98,2.3,4.85
