Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Total Shots,Shot On Target,Shots On Target %,Total Passes,Accurate Passes,Accurate Passes %,"Possession, %",Total Losses,Low Losses,Medium Losses,High Losses,Total Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Total Duels,Duels Won,Duels Won %,Total Crosses,Accurate Crosses,Accurate Crosses %,Touches in penalty area,Total Offensive Duels,Offensive Duels Won,,Total Shots Against,Shots Against On Target,Shots Against On Target %,Total Defensive Duels,Defensive Duels Won,Defensive Duels Won %,Total Forward Passes,Accurate Forward Passes,Accurate Forward Passes %,Total Passes To The Final Third,Accurate Passes To The Final Third,Accurate Passes To The Final Third %,Total Progressive Passes,Accurate Progressive Passes,Accurate Progressive Passes %,Match tempo,Average passes per possession,PPDA
Elfsborg,,,,,,1.58,1.88,15.27,5.88,38.54,406.04,299.04,73.65,49.81,145.04,27.08,58.23,59.73,96.35,40.96,39.54,15.85,240.42,115.62,48.09,19.96,7.12,35.65,23.96,91.08,30.15,33.11,13.42,5.81,43.27,93.69,62.73,66.95,159.04,98.12,61.69,47.38,27.96,59.01,86.19,50.77,58.90,15.57,3.08,8.84
Opponents,,,,,,1.31,1.61,13.42,5.54,41.26,406.04,305.12,75.14,50.19,140.19,25.00,55.12,60.08,99.15,41.23,41.81,16.12,240.42,115.08,47.86,14.92,5.31,35.57,19.38,93.65,30.92,33.02,15.27,6.08,39.80,91.12,60.92,66.86,160.88,101.77,63.26,55.85,33.00,59.09,80.35,49.12,61.13,15.47,3.10,9.17
2025-11-15,Elfsborg - Umeå 1:0,Sweden. Elitettan,96,Elfsborg,4-1-4-1 (100.0%),1,1.34,9,5,55.56,306,218,71.24,35.92,113,33,51,29,66,41,22,3,292,131,44.86,11,7,63.64,15,76,22,28.95,24,9,37.5,125,74,59.2,129,78,60.47,29,16,55.17,84,37,44.05,17.14,2.76,10.25
,,,,Umeå,4-4-2 (100.0%),0,3.85,24,9,37.5,449,375,83.52,64.08,116,8,45,63,98,28,50,20,292,146,50,23,11,47.83,35,125,51,40.8,9,5,55.56,76,54,71.05,165,127,76.97,75,55,73.33,95,75,78.95,14.1,3.62,4.66
2025-11-08,Sunnanå - Elfsborg 1:2,Sweden. Elitettan,97,Elfsborg,4-1-4-1 (100.0%),2,1.85,14,7,50,417,302,72.42,48.94,151,41,49,61,93,44,39,10,176,81,46.02,21,4,19.05,21,64,24,37.5,21,8,38.1,60,37,61.67,159,99,62.26,45,19,42.22,77,41,53.25,16.02,3.16,7.75
,,,,Sunnanå,4-1-4-1 (100.0%),1,2.62,21,8,38.1,388,287,73.97,51.06,135,22,60,53,109,35,48,26,176,83,47.16,13,2,15.38,24,60,23,38.33,14,9,64.29,64,40,62.5,149,97,65.1,30,18,60,65,34,52.31,14.29,3.01,8.29
2025-10-31,Häcken II - Elfsborg 0:2,Sweden. Elitettan,95,Elfsborg,4-1-4-1 (100.0%),2,2.28,22,10,45.45,356,290,81.46,43.24,108,20,49,39,79,28,38,13,227,112,49.34,16,4,25,22,86,24,27.91,9,1,11.11,98,67,68.37,136,97,71.32,34,25,73.53,78,55,70.51,14.37,3.39,9.95
,,,,Häcken II,4-3-1-2 (100.0%),0,0.32,9,1,11.11,472,395,83.69,56.76,103,14,44,45,85,39,36,10,227,109,48.02,16,8,50,12,98,31,31.63,22,10,45.45,86,62,72.09,156,111,71.15,46,29,63.04,76,48,63.16,14.51,4.45,9.33
2025-10-18,Elfsborg - Team TG FF 1:2,Sweden. Elitettan,99,Elfsborg,4-4-2 (100.0%),1,1.33,12,3,25,516,400,77.52,60.07,147,26,54,67,81,30,38,13,223,97,43.5,22,9,40.91,27,111,36,32.43,11,6,54.55,78,49,62.82,167,101,60.48,54,32,59.26,101,61,60.4,16.17,4.03,9.76
,,,,Team TG FF,4-4-2 (100.0%),2,1.21,11,6,54.55,314,214,68.15,39.93,136,25,57,54,100,51,34,15,223,121,54.26,12,2,16.67,7,78,29,37.18,12,3,25,111,75,67.57,144,82,56.94,47,23,48.94,71,43,60.56,14.8,2.73,9.44
2025-10-11,Uppsala - Elfsborg 1:0,Sweden. Elitettan,98,Elfsborg,4-5-1 (57.48%),0,1.13,7,5,71.43,310,205,66.13,44.75,142,28,69,45,85,42,34,9,193,88,45.6,14,4,28.57,14,78,34,43.59,19,10,52.63,80,37,46.25,156,89,57.05,44,26,59.09,85,41,48.24,14.57,2.72,9.42
,,,,Uppsala,3-5-2 (100.0%),1,2.62,19,9,47.37,404,309,76.49,55.25,128,12,51,65,101,33,49,19,193,102,52.85,21,6,28.57,34,80,43,53.75,7,6,85.71,78,44,56.41,174,118,67.82,63,42,66.67,89,59,66.29,15.38,3.28,8.63
2025-10-04,Elfsborg - KIF Örebro 1:1,Sweden. Elitettan,93,Elfsborg,4-1-4-1 (100.0%),1,1.57,13,4,30.77,253,163,64.43,31.81,127,45,44,38,89,60,21,8,199,100,50.25,16,3,18.75,20,61,30,49.18,21,8,38.1,91,50,54.95,116,62,53.45,28,17,60.71,68,27,39.71,14.52,2.13,12.16
,,,,KIF Örebro,4-3-1-2 (66.35%),1,1.68,21,8,38.1,618,525,84.95,68.19,132,15,35,82,101,35,32,34,199,89,44.72,36,11,30.56,35,91,41,45.05,13,4,30.77,61,31,50.82,208,165,79.33,77,66,85.71,109,89,81.65,16.54,4.61,4.63
2025-09-27,Bollstanäs - Elfsborg 3:2,Sweden. Elitettan,97,Elfsborg,4-1-4-1 (61.29%),2,1.82,20,6,30,506,379,74.9,55.12,168,27,65,76,111,48,42,21,213,118,55.4,30,6,20,45,85,47,55.29,12,5,41.67,85,52,61.18,200,125,62.5,52,34,65.38,98,60,61.22,17.45,3.54,7.49
,,,,Bollstanäs,4-4-2 (96.15%),3,2.11,12,5,41.67,355,257,72.39,44.88,147,33,57,57,100,46,44,10,213,88,41.31,20,7,35,15,85,33,38.82,20,7,35,85,38,44.71,140,86,61.43,35,23,65.71,76,44,57.89,15.03,2.59,13
2025-09-20,Elfsborg - Gamla Upsala 2:1,Sweden. Elitettan,94,Elfsborg,4-2-3-1 (100.0%),2,3.17,27,10,37.04,479,385,80.38,61.01,97,4,30,63,79,20,46,13,171,75,43.86,45,20,44.44,44,68,23,33.82,5,2,40,47,31,65.96,179,131,73.18,68,47,69.12,91,75,82.42,15.29,3.52,9.44
,,,,Gamla Upsala,5-3-2 (100.0%),1,0.66,5,2,40,261,193,73.95,38.99,110,32,52,26,68,42,22,4,171,84,49.12,3,0,0,7,47,16,34.04,27,10,37.04,68,45,66.18,124,78,62.9,26,12,46.15,59,26,44.07,13.04,2.04,20.53
2025-09-13,Örebro SK - Elfsborg 0:1,Sweden. Elitettan,94,Elfsborg,4-1-4-1 (100.0%),1,2.45,16,6,37.5,473,352,74.42,59.78,172,30,58,84,112,46,44,22,276,140,50.72,23,8,34.78,24,113,46,40.71,4,2,50,98,65,66.33,180,108,60,58,35,60.34,108,65,60.19,14.87,3.38,6.33
,,,,Örebro SK,3-4-3 (47.74%),0,0.47,4,2,50,323,215,66.56,40.22,151,31,57,63,104,47,41,16,276,125,45.29,10,5,50,11,98,33,33.67,16,6,37.5,113,67,59.29,139,73,52.52,48,21,43.75,71,35,49.3,15.09,2.43,8.97
2025-09-06,Elfsborg - Eskilstuna United 0:1,Sweden. Elitettan,95,Elfsborg,4-1-4-1 (100.0%),0,0.84,5,2,40,291,208,71.48,41.65,132,30,56,46,96,49,31,16,251,127,50.6,20,6,30,12,79,17,21.52,17,7,41.18,122,91,74.59,132,80,60.61,43,28,65.12,74,47,63.51,13.84,2.45,6.73
,,,,Eskilstuna United,4-2-3-1 (100.0%),1,2.7,17,6,35.29,442,345,78.05,58.35,121,20,46,55,86,32,39,15,251,117,46.61,26,15,57.69,31,122,31,25.41,5,2,40,79,62,78.48,153,100,65.36,68,44,64.71,95,65,68.42,15.01,3.45,6.14
2025-08-30,Elfsborg - Trelleborgs 2:2,Sweden. Elitettan,99,Elfsborg,4-1-4-1 (100.0%),2,2.95,14,6,42.86,397,302,76.07,45.28,122,26,57,39,95,54,32,9,209,94,44.98,16,11,68.75,21,61,14,22.95,20,11,55,87,56,64.37,161,106,65.84,42,27,64.29,95,53,55.79,15.68,3.28,13.64
