Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Total Shots,Shot On Target,Shots On Target %,Total Passes,Accurate Passes,Accurate Passes %,"Possession, %",Total Losses,Low Losses,Medium Losses,High Losses,Total Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Total Duels,Duels Won,Duels Won %,Total Crosses,Accurate Crosses,Accurate Crosses %,Touches in penalty area,Total Offensive Duels,Offensive Duels Won,,Total Shots Against,Shots Against On Target,Shots Against On Target %,Total Defensive Duels,Defensive Duels Won,Defensive Duels Won %,Total Forward Passes,Accurate Forward Passes,Accurate Forward Passes %,Total Passes To The Final Third,Accurate Passes To The Final Third,Accurate Passes To The Final Third %,Total Progressive Passes,Accurate Progressive Passes,Accurate Progressive Passes %,Match tempo,Average passes per possession,PPDA
Eskilstuna United,,,,,,2.58,2.43,16.81,7.42,44.16,393.96,289.04,73.37,50.54,137.35,21.38,45.62,70.35,93.77,34.08,38.58,21.12,216.92,107.42,49.52,23.23,7.38,31.79,26.96,96.15,33.54,34.88,7.54,2.92,38.78,70.81,51.04,72.08,149.73,93.88,62.70,57.85,35.85,61.97,76.31,48.92,64.11,14.89,2.95,9.36
Opponents,,,,,,0.65,0.75,7.54,2.69,35.71,411.38,305.85,74.35,49.46,144.58,35.81,54.73,54.04,90.92,44.65,33.19,13.08,216.92,102.73,47.36,12.50,3.58,28.62,11.42,70.81,19.77,27.92,16.81,7.88,46.91,96.15,62.62,65.12,166.73,101.73,61.01,50.35,27.50,54.62,82.42,43.27,52.50,16.02,3.29,9.85
2025-11-15,Eskilstuna United - Mallbacken 3:0,Sweden. Elitettan,93,Eskilstuna United,4-4-2 (100.0%),3,3.6,22,9,40.91,489,370,75.66,58.75,153,14,51,88,107,26,59,22,190,97,51.05,19,2,10.53,39,97,34,35.05,3,0,0,45,38,84.44,145,102,70.34,65,38,58.46,77,56,72.73,15.04,3.49,7.95
,,,,Mallbacken,4-4-1-1 (100.0%),0,0.09,3,0,0,442,314,71.04,41.25,162,45,67,50,86,46,32,8,190,88,46.32,3,0,0,4,45,7,15.56,22,9,40.91,97,63,64.95,176,101,57.39,47,18,38.3,87,34,39.08,19.37,3.43,9.94
2025-11-08,Gamla Upsala - Eskilstuna United 1:5,Sweden. Elitettan,92,Eskilstuna United,4-1-4-1 (100.0%),5,1.98,20,13,65,465,353,75.91,51.96,138,10,26,102,94,28,46,20,201,99,49.25,29,7,24.14,39,101,33,32.67,4,2,50,61,48,78.69,142,97,68.31,95,69,72.63,81,57,70.37,16.03,3.3,9.88
,,,,Gamla Upsala,5-4-1 (100.0%),1,0.39,4,2,50,389,282,72.49,48.04,155,42,66,47,87,58,22,7,201,100,49.75,9,2,22.22,6,61,13,21.31,20,13,65,101,68,67.33,148,77,52.03,42,23,54.76,73,27,36.99,14.51,2.76,11.23
2025-11-01,KIF Örebro - Eskilstuna United 0:5,Sweden. Elitettan,97,Eskilstuna United,4-4-2 (100.0%),5,3.06,16,7,43.75,362,253,69.89,37.13,135,27,61,47,92,51,31,10,248,144,58.06,22,10,45.45,19,107,48,44.86,12,6,50,98,76,77.55,143,82,57.34,41,23,56.1,84,42,50,16.18,2.78,16.54
,,,,KIF Örebro,4-1-3-2 (100.0%),0,0.5,12,6,50,614,517,84.2,62.87,142,20,48,74,94,31,43,20,248,101,40.73,20,5,25,12,98,22,22.45,16,7,43.75,107,59,55.14,212,156,73.58,69,51,73.91,99,72,72.73,16.2,4.8,5.58
2025-10-18,Eskilstuna United - Trelleborgs 2:0,Sweden. Elitettan,95,Eskilstuna United,4-4-2 (100.0%),2,1.84,14,3,21.43,402,316,78.61,47.72,119,20,40,59,95,26,47,22,218,127,58.26,27,9,33.33,25,100,38,38,1,1,100,76,65,85.53,152,109,71.71,55,40,72.73,79,60,75.95,14.4,3.27,9.09
,,,,Trelleborgs,4-4-1-1 (100.0%),0,0.19,1,1,100,526,426,80.99,52.28,134,32,53,49,81,42,33,6,218,87,39.91,8,3,37.5,5,76,11,14.47,14,5,35.71,100,62,62,197,132,67.01,58,35,60.34,87,51,58.62,17.2,4.57,8.55
