Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Total Shots,Shot On Target,Shots On Target %,Total Passes,Accurate Passes,Accurate Passes %,"Possession, %",Total Losses,Low Losses,Medium Losses,High Losses,Total Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Total Duels,Duels Won,Duels Won %,Total Crosses,Accurate Crosses,Accurate Crosses %,Touches in penalty area,Total Offensive Duels,Offensive Duels Won,,Total Shots Against,Shots Against On Target,Shots Against On Target %,Total Defensive Duels,Defensive Duels Won,Defensive Duels Won %,Total Forward Passes,Accurate Forward Passes,Accurate Forward Passes %,Total Passes To The Final Third,Accurate Passes To The Final Third,Accurate Passes To The Final Third %,Total Progressive Passes,Accurate Progressive Passes,Accurate Progressive Passes %,Match tempo,Average passes per possession,PPDA
Gamla Upsala,,,,,,1.23,1.09,8.46,3.27,38.64,403.81,304.23,75.34,48.12,136.85,32.38,54.65,49.81,88.23,43.35,32.35,12.54,239.04,120.19,50.28,13.04,4.31,33.04,12.85,82.73,25.42,30.73,17.77,8.04,45.24,103.65,71.38,68.87,153.35,96.19,62.73,44.85,24.15,53.86,74.85,38.73,51.75,15.69,3.20,9.92
Opponents,,,,,,2.54,2.41,17.77,7.62,42.86,426.42,329.69,77.32,51.88,132.50,18.62,46.50,67.38,95.35,34.62,41.65,19.08,239.04,110.77,46.34,17.77,5.96,33.55,27.69,103.65,32.27,31.13,8.46,3.38,40.00,82.73,57.31,69.27,160.73,106.58,66.31,57.50,34.50,60.00,78.15,52.92,67.72,15.35,3.23,8.71
2025-11-15,Team TG FF - Gamla Upsala 2:2,Sweden. Elitettan,96,Gamla Upsala,5-4-1 (100.0%),2,1.3,11,5,45.45,282,203,71.99,43.11,128,28,52,48,96,42,39,15,255,134,52.55,19,7,36.84,13,77,23,29.87,9,2,22.22,91,75,82.42,97,59,60.82,30,15,50,56,33,58.93,13.25,2.52,9.41
,,,,Team TG FF,4-4-2 (100.0%),2,1.44,9,2,22.22,422,336,79.62,56.89,136,25,42,69,87,31,42,14,255,111,43.53,19,8,42.11,19,91,16,17.58,11,5,45.45,77,54,70.13,146,91,62.33,53,24,45.28,56,35,62.5,15.02,3.84,8.23
2025-11-08,Gamla Upsala - Eskilstuna United 1:5,Sweden. Elitettan,92,Gamla Upsala,5-4-1 (100.0%),1,0.39,4,2,50,389,282,72.49,48.04,155,42,66,47,87,58,22,7,201,100,49.75,9,2,22.22,6,61,13,21.31,20,13,65,101,68,67.33,148,77,52.03,42,23,54.76,73,27,36.99,14.51,2.76,11.23
,,,,Eskilstuna United,4-1-4-1 (100.0%),5,1.98,20,13,65,465,353,75.91,51.96,138,10,26,102,94,28,46,20,201,99,49.25,29,7,24.14,39,101,33,32.67,4,2,50,61,48,78.69,142,97,68.31,95,69,72.63,81,57,70.37,16.03,3.3,9.88
2025-11-01,Bollstanäs - Gamla Upsala 2:1,Sweden. Elitettan,98,Gamla Upsala,3-4-2-1 (48.16%),1,0.97,10,4,40,475,358,75.37,53.99,135,27,59,49,77,32,36,9,253,155,61.26,19,6,31.58,20,93,50,53.76,17,4,23.53,106,77,72.64,165,98,59.39,41,17,41.46,73,34,46.58,16.57,3.83,6.78
,,,,Bollstanäs,4-4-2 (92.25%),2,1.8,17,4,23.53,342,249,72.81,46.01,123,18,53,52,98,36,41,21,253,94,37.15,10,3,30,24,106,29,27.36,10,4,40,93,43,46.24,136,77,56.62,53,24,45.28,65,41,63.08,14,2.41,8.21
2025-10-18,Gamla Upsala - Uppsala 0:5,Sweden. Elitettan,97,Gamla Upsala,5-3-2 (100.0%),0,0.83,8,3,37.5,314,221,70.38,43.37,142,42,60,40,92,51,34,7,261,129,49.43,11,5,45.45,14,94,32,34.04,26,10,38.46,116,82,70.69,140,85,60.71,34,17,50,75,36,48,14.34,2.28,13.68
,,,,Uppsala,3-5-2 (100.0%),5,3.3,26,10,38.46,425,331,77.88,56.63,137,11,45,81,103,29,52,22,261,118,45.21,26,8,30.77,40,116,34,29.31,8,3,37.5,94,62,65.96,181,134,74.03,76,51,67.11,104,80,76.92,14.86,3.27,6.61
2025-10-11,Trelleborgs - Gamla Upsala 3:0,Sweden. Elitettan,94,Gamla Upsala,4-2-3-1 (100.0%),0,1.27,6,0,0,378,289,76.46,43.83,137,33,51,53,86,39,34,13,202,98,48.51,9,1,11.11,6,60,17,28.33,14,6,42.86,103,61,59.22,128,80,62.5,47,23,48.94,51,20,39.22,16.15,3.38,8.56
,,,,Trelleborgs,4-4-2 (100.0%),3,3.14,14,5,35.71,456,363,79.61,56.17,122,21,40,61,82,31,33,18,202,99,49.01,20,10,50,38,103,42,40.78,6,0,0,60,43,71.67,138,91,65.94,47,32,68.09,71,48,67.61,15.2,3.59,8.97
