Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Total Shots,Shot On Target,Shots On Target %,Total Passes,Accurate Passes,Accurate Passes %,"Possession, %",Total Losses,Low Losses,Medium Losses,High Losses,Total Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Total Duels,Duels Won,Duels Won %,Total Crosses,Accurate Crosses,Accurate Crosses %,Touches in penalty area,Total Offensive Duels,Offensive Duels Won,,Total Shots Against,Shots Against On Target,Shots Against On Target %,Total Defensive Duels,Defensive Duels Won,Defensive Duels Won %,Total Forward Passes,Accurate Forward Passes,Accurate Forward Passes %,Total Passes To The Final Third,Accurate Passes To The Final Third,Accurate Passes To The Final Third %,Total Progressive Passes,Accurate Progressive Passes,Accurate Progressive Passes %,Match tempo,Average passes per possession,PPDA
Häcken II,,,,,,1.04,1.17,10.38,4.62,44.44,508.88,418.77,82.29,59.96,122.04,27.23,43.92,50.88,89.54,40.38,35.85,13.31,233.81,112.38,48.07,14.81,4.00,27.01,17.96,108.73,35.00,32.19,16.15,7.27,45.00,84.92,60.27,70.97,166.77,115.15,69.05,53.42,32.69,61.20,78.69,48.19,61.24,14.86,4.18,8.67
Opponents,,,,,,1.85,2.04,16.15,6.92,42.86,350.42,267.73,76.40,40.04,117.46,21.46,43.81,52.19,87.96,35.00,34.46,18.50,233.81,116.12,49.66,12.92,3.85,29.76,19.85,84.88,24.62,29.00,10.38,4.81,46.30,108.77,73.73,67.79,133.81,88.00,65.77,43.96,28.50,64.83,71.42,45.12,63.17,15.26,2.98,10.91
2025-11-15,Uppsala - Häcken II 5:2,Sweden. Elitettan,94,Häcken II,4-3-3 (100.0%),2,0.64,10,6,60,358,268,74.86,49.28,129,43,50,36,77,45,25,7,276,138,50,4,1,25,11,118,38,32.2,35,12,34.29,102,71,69.61,148,92,62.16,23,11,47.83,64,27,42.19,13.64,2.75,15.57
,,,,Uppsala,3-5-2 (100.0%),5,4.28,35,12,34.29,407,330,81.08,50.72,117,12,33,72,104,30,48,26,276,126,45.65,20,8,40,49,102,31,30.39,10,6,60,118,80,67.8,147,108,73.47,68,52,76.47,93,70,75.27,15.07,3.42,4.95
2025-11-08,Häcken II - Team TG FF 1:1,Sweden. Elitettan,95,Häcken II,4-3-1-2 (100.0%),1,0.93,9,2,22.22,662,566,85.5,72.6,127,24,50,53,86,39,30,17,179,92,51.4,18,5,27.78,13,87,37,42.53,17,6,35.29,59,37,62.71,174,117,67.24,57,30,52.63,76,46,60.53,15.36,6.13,7.63
,,,,Team TG FF,4-4-2 (100.0%),1,1.9,17,6,35.29,264,180,68.18,27.4,126,23,44,59,79,31,33,15,179,84,46.93,11,3,27.27,18,59,22,37.29,9,2,22.22,87,50,57.47,111,68,61.26,30,14,46.67,59,33,55.93,16.23,2.49,15.41
2025-10-31,Häcken II - Elfsborg 0:2,Sweden. Elitettan,95,Häcken II,4-3-1-2 (100.0%),0,0.32,9,1,11.11,472,395,83.69,56.76,103,14,44,45,85,39,36,10,227,109,48.02,16,8,50,12,98,31,31.63,22,10,45.45,86,62,72.09,156,111,71.15,46,29,63.04,76,48,63.16,14.51,4.45,9.33
,,,,Elfsborg,4-1-4-1 (100.0%),2,2.28,22,10,45.45,356,290,81.46,43.24,108,20,49,39,79,28,38,13,227,112,49.34,16,4,25,22,86,24,27.91,9,1,11.11,98,67,68.37,136,97,71.32,34,25,73.53,78,55,70.51,14.37,3.39,9.95
2025-10-18,Örebro SK - Häcken II 3:0,Sweden. Elitettan,93,Häcken II,3-5-2 (100.0%),0,0.25,7,1,14.29,480,406,84.58,49.83,128,36,56,36,101,55,39,7,249,132,53.01,5,2,40,3,113,38,33.63,17,11,64.71,106,76,71.7,166,122,73.49,37,15,40.54,65,35,53.85,15.67,4.57,12.68
,,,,Örebro SK,5-4-1 (100.0%),3,3.39,17,9,52.94,447,375,83.89,50.17,108,11,41,56,99,33,41,25,249,114,45.78,17,4,23.53,26,106,30,28.3,7,1,14.29,113,75,66.37,151,113,74.83,41,31,75.61,62,46,74.19,14.49,3.82,9.77
2025-10-11,Häcken II - Sunnanå 1:1,Sweden. Elitettan,97,Häcken II,5-3-2 (100.0%),1,1.24,8,5,62.5,547,454,83,58.41,142,48,50,44,96,56,29,11,191,94,49.21,8,3,37.5,9,83,28,33.73,23,6,26.09,72,45,62.5,194,127,65.46,41,23,56.1,76,33,43.42,16.54,4.24,11.22
,,,,Sunnanå,4-1-4-1 (100.0%),1,3.56,23,5,21.74,352,245,69.6,41.59,135,15,36,84,99,34,34,31,191,95,49.74,21,5,23.81,27,72,27,37.5,8,5,62.5,83,55,66.27,120,72,60,61,37,60.66,68,47,69.12,14.94,2.55,10.72
2025-10-03,Jitex - Häcken II 3:3,Sweden. Elitettan,93,Häcken II,4-4-2 (100.0%),3,1.03,7,3,42.86,403,328,81.39,53.58,133,42,51,40,88,55,24,9,272,111,40.81,10,2,20,10,112,30,26.79,22,11,50,97,60,61.86,127,80,62.99,45,31,68.89,57,28,49.12,14.22,3.7,16.08
,,,,Jitex,3-4-1-2 (100.0%),3,2.9,22,9,40.91,351,266,75.78,46.42,102,10,31,61,93,22,48,23,272,148,54.41,28,6,21.43,31,97,37,38.14,7,3,42.86,112,82,73.21,143,103,72.03,50,35,70,64,46,71.88,14.29,3.08,6.81
2025-09-27,Gamla Upsala - Häcken II 1:0,Sweden. Elitettan,93,Häcken II,5-3-2 (100.0%),0,1.09,19,7,36.84,458,385,84.06,53.11,121,23,45,53,94,44,42,8,239,102,42.68,10,3,30,10,105,34,32.38,10,6,60,82,55,67.07,145,103,71.03,44,26,59.09,59,37,62.71,14.09,3.72,8.98
,,,,Gamla Upsala,3-4-1-2 (100.0%),1,1.61,10,6,60,457,358,78.34,46.89,118,21,52,45,83,34,34,15,239,125,52.3,12,4,33.33,17,82,27,32.93,19,7,36.84,105,71,67.62,165,108,65.45,42,27,64.29,81,43,53.09,15.93,4.01,9.07
2025-09-20,Häcken II - Trelleborgs 0:4,Sweden. Elitettan,92,Häcken II,4-3-1-2 (49.23%),0,0.34,3,1,33.33,414,331,79.95,40.74,117,44,45,28,81,52,22,7,208,103,49.52,4,3,75,6,77,20,25.97,26,12,46.15,87,63,72.41,126,75,59.52,32,16,50,62,24,38.71,17.52,3.94,14.39
,,,,Trelleborgs,4-4-2 (89.41%),4,2.44,26,12,46.15,566,485,85.69,59.26,113,7,39,67,83,19,40,24,208,101,48.56,14,2,14.29,31,87,24,27.59,3,1,33.33,77,57,74.03,165,129,78.18,62,47,75.81,82,66,80.49,16.46,4.88,8.95
2025-09-13,Umeå - Häcken II 2:2,Sweden. Elitettan,94,Häcken II,4-3-1-2 (100.0%),2,1.43,10,3,30,394,317,80.46,41.98,103,45,40,18,75,48,20,7,222,105,47.3,7,4,57.14,9,88,27,30.68,24,9,37.5,84,55,65.48,153,100,65.36,29,16,55.17,73,29,39.73,15.51,3.4,13.91
,,,,Umeå,4-2-3-1 (100.0%),2,2.33,24,9,37.5,527,446,84.63,58.02,91,8,22,61,88,23,29,36,222,109,49.1,16,2,12.5,30,83,28,33.73,10,3,30,89,61,68.54,180,135,75,72,54,75,96,75,78.13,15.01,4.71,10.09
2025-09-06,Häcken II - Mallbacken 3:0,Sweden. Elitettan,100,Häcken II,4-3-3 (100.0%),3,1.99,11,5,45.45,560,481,85.89,68.36,112,24,39,49,90,36,43,11,204,106,51.96,15,5,33.33,23,91,27,29.67,17,6,35.29,71,65,91.55,163,121,74.23,62,46,74.19,83,60,72.29,13.95,4.52,4.94
,,,,Mallbacken,4-2-3-1 (63.03%),0,1.31,17,6,35.29,332,245,73.8,31.64,107,21,43,43,82,32,33,17,204,94,46.08,15,5,33.33,17,71,6,8.45,11,5,45.45,91,64,70.33,132,86,65.15,44,29,65.91,84,55,65.48,17.86,2.77,16.92
