Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Total Shots,Shot On Target,Shots On Target %,Total Passes,Accurate Passes,Accurate Passes %,"Possession, %",Total Losses,Low Losses,Medium Losses,High Losses,Total Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Total Duels,Duels Won,Duels Won %,Total Crosses,Accurate Crosses,Accurate Crosses %,Touches in penalty area,Total Offensive Duels,Offensive Duels Won,,Total Shots Against,Shots Against On Target,Shots Against On Target %,Total Defensive Duels,Defensive Duels Won,Defensive Duels Won %,Total Forward Passes,Accurate Forward Passes,Accurate Forward Passes %,Total Passes To The Final Third,Accurate Passes To The Final Third,Accurate Passes To The Final Third %,Total Progressive Passes,Accurate Progressive Passes,Accurate Progressive Passes %,Match tempo,Average passes per possession,PPDA
Jitex,,,,,,2.00,1.91,15.08,5.65,37.50,332.27,228.77,68.85,42.85,141.62,25.96,51.19,64.46,94.88,38.92,39.42,16.54,251.46,120.92,48.09,15.35,4.88,31.83,19.27,90.85,27.58,30.36,15.27,6.35,41.56,97.15,66.00,67.93,152.38,90.81,59.59,56.46,29.81,52.79,75.42,46.46,61.60,15.53,2.57,8.66
Opponents,,,,,,1.92,1.95,15.27,6.08,39.80,426.04,323.15,75.85,57.15,142.35,28.46,52.92,60.96,97.46,43.19,39.46,14.81,251.46,121.23,48.21,17.73,5.31,29.93,22.31,97.12,31.12,32.04,15.08,6.15,40.82,90.88,63.27,69.61,162.23,103.15,63.58,55.00,33.50,60.91,84.00,51.81,61.68,14.75,3.24,7.54
2025-11-15,Jitex - Örebro SK 1:4,Sweden. Elitettan,95,Jitex,4-2-3-1 (100.0%),1,4.37,24,4,16.67,409,309,75.55,48.48,131,14,55,62,94,41,36,17,226,128,56.64,16,7,43.75,31,75,32,42.67,20,9,45,91,63,69.23,174,121,69.54,47,26,55.32,82,57,69.51,15.59,2.94,11.32
,,,,Örebro SK,3-4-3 (100.0%),4,1.34,20,8,40,428,325,75.93,51.52,131,27,50,54,89,41,43,5,226,93,41.15,18,4,22.22,16,91,28,30.77,24,4,16.67,75,43,57.33,173,110,63.58,54,37,68.52,91,59,64.84,15.35,3.1,7.43
2025-11-08,Mallbacken - Jitex 0:4,Sweden. Elitettan,95,Jitex,4-2-3-1 (75.97%),4,1.69,21,10,47.62,367,269,73.3,44.97,134,30,65,39,99,48,36,15,279,120,43.01,9,2,22.22,21,119,29,24.37,10,3,30,92,66,71.74,160,98,61.25,40,27,67.5,81,45,55.56,15.82,2.76,8.36
,,,,Mallbacken,4-2-3-1 (100.0%),0,1.94,10,3,30,428,317,74.07,55.03,156,22,58,76,102,33,55,14,279,147,52.69,24,6,25,16,92,26,28.26,21,10,47.62,119,90,75.63,169,105,62.13,69,42,60.87,79,47,59.49,15.08,2.82,8.35
2025-11-02,Jitex - Sunnanå 4:3,Sweden. Elitettan,97,Jitex,3-5-2 (100.0%),4,3.65,23,8,34.78,455,333,73.19,55.44,130,24,50,56,92,40,36,16,242,109,45.04,25,11,44,38,109,30,27.52,18,10,55.56,78,49,62.82,187,120,64.17,56,27,48.21,95,66,69.47,16.16,3.37,6.91
,,,,Sunnanå,4-1-4-1 (100.0%),3,1.92,18,10,55.56,314,209,66.56,44.56,152,42,52,58,99,46,36,17,242,128,52.89,15,3,20,16,78,29,37.18,23,9,39.13,109,79,72.48,122,67,54.92,44,24,54.55,76,43,56.58,13.88,2.49,8.83
2025-10-18,Umeå - Jitex 3:3,Sweden. Elitettan,94,Jitex,3-5-2 (100.0%),3,2.25,10,7,70,298,206,69.13,35.4,155,53,55,47,106,65,37,4,231,93,40.26,2,1,50,13,67,17,25.37,24,10,41.67,83,47,56.63,153,84,54.9,49,24,48.98,71,35,49.3,16.36,2.42,13.18
,,,,Umeå,4-2-3-1 (100.0%),3,2.75,24,10,41.67,515,388,75.34,64.6,150,10,43,97,117,27,51,39,231,121,52.38,43,14,32.56,37,83,36,43.37,10,7,70,67,50,74.63,189,129,68.25,72,48,66.67,102,79,77.45,15.49,3.99,6.08
2025-10-11,Team TG FF - Jitex 0:2,Sweden. Elitettan,95,Jitex,3-5-2 (100.0%),2,2.35,11,4,36.36,432,337,78.01,57.08,128,14,38,76,88,33,39,16,288,131,45.49,27,9,33.33,24,118,36,30.51,7,2,28.57,85,63,74.12,192,145,75.52,65,41,63.08,74,55,74.32,15.59,3.18,5.7
