Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Total Shots,Shot On Target,Shots On Target %,Total Passes,Accurate Passes,Accurate Passes %,"Possession, %",Total Losses,Low Losses,Medium Losses,High Losses,Total Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Total Duels,Duels Won,Duels Won %,Total Crosses,Accurate Crosses,Accurate Crosses %,Touches in penalty area,Total Offensive Duels,Offensive Duels Won,,Total Shots Against,Shots Against On Target,Shots Against On Target %,Total Defensive Duels,Defensive Duels Won,Defensive Duels Won %,Total Forward Passes,Accurate Forward Passes,Accurate Forward Passes %,Total Passes To The Final Third,Accurate Passes To The Final Third,Accurate Passes To The Final Third %,Total Progressive Passes,Accurate Progressive Passes,Accurate Progressive Passes %,Match tempo,Average passes per possession,PPDA
KIF Örebro,,,,,,2.41,2.12,17.67,7.67,43.40,517.07,418.89,81.01,60.70,134.59,18.81,51.63,64.15,96.11,35.56,41.81,18.74,233.59,114.78,49.14,14.07,4.59,32.63,22.56,96.00,32.67,34.03,10.15,4.70,46.35,86.37,59.33,68.70,187.67,129.59,69.05,66.78,44.04,65.95,89.52,61.33,68.51,15.60,4.06,6.52
Opponents,,,,,,1.41,1.32,10.15,4.48,44.16,335.74,234.81,69.94,39.30,137.07,29.70,57.07,50.30,88.15,42.00,34.74,11.41,233.59,111.33,47.66,12.59,3.93,31.18,15.33,86.37,27.04,31.30,17.67,7.96,45.07,96.00,63.33,65.97,141.44,81.26,57.45,45.26,23.56,52.05,72.78,37.33,51.30,15.67,2.67,12.54
2025-11-23,Brommapojkarna - KIF Örebro 2:0,Sweden. Women's Play-offs 1/2,93,KIF Örebro,4-4-2 (100.0%),0,1.19,18,5,27.78,502,392,78.09,59.47,143,19,60,64,108,37,55,16,243,111,45.68,7,3,42.86,15,90,23,25.56,13,5,38.46,96,67,69.79,208,131,62.98,79,45,56.96,97,64,65.98,14.98,4.37,4.88
,,,,Brommapojkarna,5-4-1 (100.0%),2,1.56,13,5,38.46,393,276,70.23,40.53,146,22,69,55,117,51,53,13,243,121,49.79,20,8,40,25,96,29,30.21,18,5,27.78,90,67,74.44,160,91,56.88,62,37,59.68,96,58,60.42,17.21,3.07,9.66
2025-11-20,KIF Örebro - Brommapojkarna 0:2,Sweden. Women's Play-offs 1/2,93,KIF Örebro,4-1-3-2 (100.0%),0,0.66,7,4,57.14,607,486,80.07,63.49,154,35,50,69,106,48,45,13,241,122,50.62,4,0,0,6,77,26,33.77,15,7,46.67,110,71,64.55,210,127,60.48,68,35,51.47,82,42,51.22,16.39,5.23,5.47
,,,,Brommapojkarna,4-4-2 (100.0%),2,2.75,15,7,46.67,392,277,70.66,36.51,156,28,63,65,111,44,46,21,241,113,46.89,21,9,42.86,30,110,39,35.45,7,5,71.43,77,51,66.23,151,96,63.58,54,33,61.11,84,50,59.52,18.4,3.14,10.76
2025-11-15,KIF Örebro - Sunnanå 5:4,Sweden. Elitettan,96,KIF Örebro,4-1-3-2 (100.0%),5,4.56,25,13,52,571,475,83.19,65.71,128,15,64,49,104,32,55,17,248,120,48.39,16,7,43.75,44,90,29,32.22,12,5,41.67,89,60,67.42,213,155,72.77,69,49,71.01,105,73,69.52,16.45,4.68,5.03
,,,,Sunnanå,4-1-4-1 (100.0%),4,2.03,12,3,25,274,182,66.42,34.29,144,26,66,52,98,46,41,11,248,116,46.77,10,4,40,19,89,29,32.58,25,13,52,90,61,67.78,124,67,54.03,43,20,46.51,62,32,51.61,15.12,2.23,11.06
2025-11-08,Bollstanäs - KIF Örebro 1:2,Sweden. Elitettan,99,KIF Örebro,4-1-3-2 (77.3%),2,2.02,20,7,35,654,533,81.5,68.35,161,17,63,81,112,34,60,18,217,100,46.08,10,1,10,15,102,28,27.45,6,2,33.33,60,49,81.67,237,166,70.04,83,57,68.67,103,78,75.73,17.99,4.67,5.7
,,,,Bollstanäs,4-3-1-2 (100.0%),1,1.35,6,2,33.33,297,166,55.89,31.65,164,42,68,54,93,41,38,14,217,108,49.77,10,3,30,8,60,11,18.33,20,9,45,102,74,72.55,145,60,41.38,43,13,30.23,88,31,35.23,17.64,2.4,12.11
2025-11-01,KIF Örebro - Eskilstuna United 0:5,Sweden. Elitettan,97,KIF Örebro,4-1-3-2 (100.0%),0,0.5,12,6,50,614,517,84.2,62.87,142,20,48,74,94,31,43,20,248,101,40.73,20,5,25,12,98,22,22.45,16,7,43.75,107,59,55.14,212,156,73.58,69,51,73.91,99,72,72.73,16.2,4.8,5.58
,,,,Eskilstuna United,4-4-2 (100.0%),5,3.06,16,7,43.75,362,253,69.89,37.13,135,27,61,47,92,51,31,10,248,144,58.06,22,10,45.45,19,107,48,44.86,12,6,50,98,76,77.55,143,82,57.34,41,23,56.1,84,42,50,16.18,2.78,16.54
2025-10-18,Mallbacken - KIF Örebro 2:5,Sweden. Elitettan,96,KIF Örebro,4-3-1-2 (100.0%),5,3.92,18,12,66.67,523,412,78.78,57.42,146,24,58,64,104,45,41,18,252,118,46.83,18,4,22.22,37,106,31,29.25,6,3,50,93,66,70.97,211,148,70.14,69,50,72.46,91,62,68.13,16.79,3.82,6.12
,,,,Mallbacken,4-2-3-1 (100.0%),2,0.73,6,3,50,358,245,68.44,42.58,138,21,56,61,95,37,40,18,252,126,50,12,1,8.33,8,93,27,29.03,18,12,66.67,106,75,70.75,152,81,53.29,50,22,44,62,30,48.39,15.49,2.78,7.13
2025-10-11,Örebro SK - KIF Örebro 2:3,Sweden. Elitettan,96,KIF Örebro,4-1-3-2 (47.93%),3,4.57,26,10,38.46,555,453,81.62,66.57,109,8,34,67,97,31,48,18,174,84,48.28,22,9,40.91,36,77,28,36.36,9,7,77.78,69,42,60.87,205,153,74.63,83,53,63.86,100,75,75,15.97,4.3,4.84
,,,,Örebro SK,5-4-1 (100.0%),2,1.28,9,7,77.78,264,165,62.5,33.43,145,31,76,38,72,44,17,11,174,87,50,12,3,25,17,69,27,39.13,26,10,38.46,77,49,63.64,113,55,48.67,30,16,53.33,67,22,32.84,15.12,2.11,27
2025-10-04,Elfsborg - KIF Örebro 1:1,Sweden. Elitettan,93,KIF Örebro,4-3-1-2 (66.35%),1,1.68,21,8,38.1,618,525,84.95,68.19,132,15,35,82,101,35,32,34,199,89,44.72,36,11,30.56,35,91,41,45.05,13,4,30.77,61,31,50.82,208,165,79.33,77,66,85.71,109,89,81.65,16.54,4.61,4.63
,,,,Elfsborg,4-1-4-1 (100.0%),1,1.57,13,4,30.77,253,163,64.43,31.81,127,45,44,38,89,60,21,8,199,100,50.25,16,3,18.75,20,61,30,49.18,21,8,38.1,91,50,54.95,116,62,53.45,28,17,60.71,68,27,39.71,14.52,2.13,12.16
2025-09-27,KIF Örebro - Team TG FF 5:0,Sweden. Elitettan,98,KIF Örebro,4-1-3-2 (59.37%),5,2.43,24,10,41.67,603,514,85.24,70.22,126,15,46,65,101,32,45,24,248,141,56.85,17,5,29.41,23,98,44,44.9,7,1,14.29,87,65,74.71,206,151,73.3,73,53,72.6,89,63,70.79,15.33,5.07,4.24
,,,,Team TG FF,4-4-2 (100.0%),0,0.26,7,1,14.29,276,186,67.39,29.78,139,41,60,38,84,41,35,8,248,97,39.11,10,5,50,6,87,22,25.29,24,10,41.67,98,54,55.1,124,71,57.26,38,18,47.37,66,34,51.52,16.55,2.32,14.74
2025-09-24,Umeå - KIF Örebro 2:2,Sweden. Elitettan,97,KIF Örebro,4-3-1-2 (100.0%),2,2.43,20,10,50,533,439,82.36,61.95,135,19,51,65,98,34,38,26,259,119,45.95,21,6,28.57,26,90,26,28.89,11,6,54.55,90,57,63.33,176,127,72.16,66,47,71.21,88,61,69.32,15.55,4.85,5.59
,,,,Umeå,4-4-2 (63.77%),2,1.51,11,6,54.55,301,212,70.43,38.05,144,43,55,46,100,51,38,11,259,125,48.26,10,4,40,10,90,33,36.67,20,11,55,90,64,71.11,126,72,57.14,42,20,47.62,69,31,44.93,14.3,2.57,12.55
2025-09-20,KIF Örebro - Umeå 0:0,Sweden. Elitettan,95,KIF Örebro,4-3-1-2 (100.0%),0,1.42,14,7,50,684,580,84.8,68.19,138,11,59,68,103,35,43,25,178,94,52.81,18,7,38.89,19,60,23,38.33,6,3,50,63,45,71.43,225,166,73.78,93,67,72.04,104,81,77.88,17.15,5.52,6
,,,,Umeå,4-1-3-2 (100.0%),0,0.59,6,3,50,299,202,67.56,31.81,140,34,60,46,85,39,40,6,178,79,44.38,11,6,54.55,9,63,18,28.57,14,7,50,60,37,61.67,127,62,48.82,42,20,47.62,65,29,44.62,16.07,2.47,16.33
2025-09-13,Trelleborgs - KIF Örebro 0:0,Sweden. Elitettan,93,KIF Örebro,4-1-3-2 (100.0%),0,1.9,20,9,45,503,401,79.72,56.48,137,31,43,63,112,41,48,23,232,130,56.03,11,5,45.45,23,81,38,46.91,16,5,31.25,110,79,71.82,182,119,65.38,66,35,53.03,87,55,63.22,15.47,3.4,5.48
,,,,Trelleborgs,4-4-2 (100.0%),0,1.65,16,5,31.25,429,307,71.56,43.52,158,35,67,56,91,48,26,17,232,97,41.81,21,5,23.81,37,110,31,28.18,20,9,45,81,43,53.09,166,112,67.47,40,29,72.5,93,50,53.76,17.12,3,14.76
2025-09-06,KIF Örebro - Gamla Upsala 4:0,Sweden. Elitettan,95,KIF Örebro,4-3-2-1 (100.0%),4,4.24,27,12,44.44,622,532,85.53,66.64,119,7,31,81,92,16,43,33,218,118,54.13,20,8,40,39,117,43,36.75,4,1,25,78,62,79.49,210,165,78.57,102,79,77.45,129,110,85.27,16.45,4.9,5.02
,,,,Gamla Upsala,4-2-3-1 (72.24%),0,0.17,4,1,25,289,208,71.97,33.36,129,50,57,22,73,51,16,6,218,98,44.95,6,1,16.67,3,78,16,20.51,27,12,44.44,117,74,63.25,126,75,59.52,19,11,57.89,68,25,36.76,15.27,2.49,27.15
2025-08-30,KIF Örebro - Häcken II 4:0,Sweden. Elitettan,96,KIF Örebro,4-2-2-2 (67.29%),4,4,24,12,50,432,361,83.56,46.01,106,18,47,41,89,41,39,9,230,125,54.35,7,5,71.43,19,88,35,39.77,11,5,45.45,92,68,73.91,169,129,76.33,37,24,64.86,84,52,61.9,15.61,3.57,14.25
,,,,Häcken II,4-4-2 (100.0%),0,1.23,11,5,45.45,515,444,86.21,53.99,93,13,37,43,82,33,40,9,230,96,41.74,10,5,50,15,92,24,26.09,24,12,50,88,53,60.23,187,140,74.87,58,35,60.34,81,57,70.37,15.86,4.4,11.57
2025-08-23,Jitex - KIF Örebro 2:3,Sweden. Elitettan,91,KIF Örebro,4-4-2 (55.56%),3,3.05,26,10,38.46,493,405,82.15,70.9,129,22,39,68,85,38,30,17,210,110,52.38,20,5,25,28,112,49,43.75,8,4,50,49,35,71.43,166,121,72.89,64,45,70.31,73,51,69.86,14.13,3.57,8.95
,,,,Jitex,5-3-2 (100.0%),2,0.88,8,4,50,246,151,61.38,29.1,148,39,46,63,65,39,14,12,210,92,43.81,10,2,20,9,49,14,28.57,26,10,38.46,112,63,56.25,132,63,47.73,58,22,37.93,57,33,57.89,17.18,2.03,16.05
2025-08-16,Uppsala - KIF Örebro 0:4,Sweden. Elitettan,94,KIF Örebro,4-3-1-2 (100.0%),4,0.85,12,7,58.33,394,286,72.59,53.59,151,21,77,53,97,44,38,15,269,122,45.35,7,2,28.57,13,110,27,24.55,9,5,55.56,109,69,63.3,189,115,60.85,45,23,51.11,89,46,51.69,13.91,2.88,8.55
,,,,Uppsala,3-4-1-2 (100.0%),0,0.86,9,5,55.56,377,253,67.11,46.41,152,13,66,73,92,32,50,10,269,141,52.42,19,5,26.32,15,109,40,36.7,12,7,58.33,110,83,75.45,161,88,54.66,70,31,44.29,75,48,64,15.36,2.64,6.98
2025-08-03,Team TG FF - KIF Örebro 0:6,Sweden. Elitettan,92,KIF Örebro,4-3-1-2 (100.0%),6,2.32,16,9,56.25,647,535,82.69,69.32,128,14,51,63,108,42,47,19,228,113,49.56,6,1,16.67,23,93,35,37.63,7,3,42.86,78,55,70.51,212,145,68.4,80,47,58.75,81,52,64.2,16.86,5.18,4.91
,,,,Team TG FF,4-4-2 (100.0%),0,1.26,7,3,42.86,263,167,63.5,30.68,138,27,56,55,88,39,38,11,228,107,46.93,4,0,0,10,78,23,29.49,16,9,56.25,93,58,62.37,139,79,56.83,41,17,41.46,61,27,44.26,15.49,2.14,15.54
2025-07-26,KIF Örebro - Elfsborg 2:1,Sweden. Elitettan,99,KIF Örebro,4-1-3-2 (100.0%),2,1.67,23,7,30.43,525,432,82.29,59.04,128,12,46,70,87,25,36,26,246,129,52.44,11,3,27.27,26,106,38,35.85,5,2,40,86,65,75.58,178,119,66.85,80,50,62.5,85,57,67.06,16.78,4.23,7.24
,,,,Elfsborg,4-4-2 (100.0%),1,0.18,5,2,40,318,219,68.87,40.96,125,35,52,38,76,42,26,8,246,104,42.28,9,3,33.33,4,86,21,24.42,23,7,30.43,106,68,64.15,127,69,54.33,33,15,45.45,79,34,43.04,14.65,2.86,20.81
2025-06-11,Häcken II - KIF Örebro 0:2,Sweden. Elitettan,93,KIF Örebro,4-1-3-2 (100.0%),2,1.01,10,6,60,353,277,78.47,36.78,120,34,47,39,79,32,33,14,224,113,50.45,6,1,16.67,9,83,23,27.71,13,5,38.46,115,75,65.22,128,83,64.84,43,29,67.44,80,54,67.5,15.88,3.1,12.36
