Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Total Shots,Shot On Target,Shots On Target %,Total Passes,Accurate Passes,Accurate Passes %,"Possession, %",Total Losses,Low Losses,Medium Losses,High Losses,Total Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Total Duels,Duels Won,Duels Won %,Total Crosses,Accurate Crosses,Accurate Crosses %,Touches in penalty area,Total Offensive Duels,Offensive Duels Won,,Total Shots Against,Shots Against On Target,Shots Against On Target %,Total Defensive Duels,Defensive Duels Won,Defensive Duels Won %,Total Forward Passes,Accurate Forward Passes,Accurate Forward Passes %,Total Passes To The Final Third,Accurate Passes To The Final Third,Accurate Passes To The Final Third %,Total Progressive Passes,Accurate Progressive Passes,Accurate Progressive Passes %,Match tempo,Average passes per possession,PPDA
Mallbacken,,,,,,0.92,1.06,8.20,3.28,40.00,379.40,262.04,69.07,46.28,153.40,30.00,61.36,62.04,96.88,41.92,41.52,13.44,234.32,113.72,48.53,14.04,4.36,31.05,13.44,83.96,22.36,26.63,15.04,6.80,45.21,94.88,66.24,69.81,157.80,87.00,55.13,53.20,23.96,45.04,78.72,41.88,53.20,15.88,2.75,10.27
Opponents,,,,,,2.48,2.28,15.04,6.60,43.88,430.92,316.64,73.48,53.72,153.32,24.92,60.24,68.16,101.64,39.40,44.52,17.72,234.32,112.64,48.07,18.52,5.68,30.67,24.80,94.88,28.64,30.19,8.20,3.52,42.93,83.96,61.60,73.37,167.72,101.40,60.46,57.48,32.48,56.51,84.12,50.76,60.34,15.32,3.18,6.80
2025-11-15,Eskilstuna United - Mallbacken 3:0,Sweden. Elitettan,93,Mallbacken,4-4-1-1 (100.0%),0,0.09,3,0,0,442,314,71.04,41.25,162,45,67,50,86,46,32,8,190,88,46.32,3,0,0,4,45,7,15.56,22,9,40.91,97,63,64.95,176,101,57.39,47,18,38.3,87,34,39.08,19.37,3.43,9.94
,,,,Eskilstuna United,4-4-2 (100.0%),3,3.6,22,9,40.91,489,370,75.66,58.75,153,14,51,88,107,26,59,22,190,97,51.05,19,2,10.53,39,97,34,35.05,3,0,0,45,38,84.44,145,102,70.34,65,38,58.46,77,56,72.73,15.04,3.49,7.95
2025-11-08,Mallbacken - Jitex 0:4,Sweden. Elitettan,95,Mallbacken,4-2-3-1 (100.0%),0,1.94,10,3,30,428,317,74.07,55.03,156,22,58,76,102,33,55,14,279,147,52.69,24,6,25,16,92,26,28.26,21,10,47.62,119,90,75.63,169,105,62.13,69,42,60.87,79,47,59.49,15.08,2.82,8.35
,,,,Jitex,4-2-3-1 (75.97%),4,1.69,21,10,47.62,367,269,73.3,44.97,134,30,65,39,99,48,36,15,279,120,43.01,9,2,22.22,21,119,29,24.37,10,3,30,92,66,71.74,160,98,61.25,40,27,67.5,81,45,55.56,15.82,2.76,8.36
2025-11-01,Trelleborgs - Mallbacken 4:1,Sweden. Elitettan,95,Mallbacken,4-2-3-1 (100.0%),1,0.54,4,3,75,362,242,66.85,37.36,153,45,69,39,95,53,38,4,216,124,57.41,12,5,41.67,10,59,21,35.59,17,10,58.82,118,83,70.34,161,86,53.42,37,16,43.24,77,39,50.65,17.08,2.99,15.14
,,,,Trelleborgs,4-2-3-1 (100.0%),4,2.33,17,10,58.82,604,493,81.62,62.64,142,8,54,80,103,25,53,25,216,87,40.28,20,2,10,36,118,35,29.66,4,4,100,59,38,64.41,193,143,74.09,62,44,70.97,76,57,75,16.99,4.47,6.04
2025-10-18,Mallbacken - KIF Örebro 2:5,Sweden. Elitettan,96,Mallbacken,4-2-3-1 (100.0%),2,0.73,6,3,50,358,245,68.44,42.58,138,21,56,61,95,37,40,18,252,126,50,12,1,8.33,8,93,27,29.03,18,12,66.67,106,75,70.75,152,81,53.29,50,22,44,62,30,48.39,15.49,2.78,7.13
,,,,KIF Örebro,4-3-1-2 (100.0%),5,3.92,18,12,66.67,523,412,78.78,57.42,146,24,58,64,104,45,41,18,252,118,46.83,18,4,22.22,37,106,31,29.25,6,3,50,93,66,70.97,211,148,70.14,69,50,72.46,91,62,68.13,16.79,3.82,6.12
2025-10-12,Umeå - Mallbacken 0:0,Sweden. Elitettan,95,Mallbacken,4-2-3-1 (76.13%),0,0.96,9,4,44.44,248,152,61.29,37.14,146,39,58,49,93,48,35,10,255,122,47.84,11,4,36.36,11,82,23,28.05,15,2,13.33,91,62,68.13,122,60,49.18,38,16,42.11,64,30,46.88,13.3,1.95,12.07
,,,,Umeå,4-2-3-1 (100.0%),0,1.73,15,2,13.33,474,359,75.74,62.86,147,17,59,71,89,30,40,19,255,117,45.88,20,5,25,28,91,29,31.87,9,4,44.44,82,59,71.95,185,113,61.08,50,30,60,64,43,67.19,15.02,3.7,4.68
2025-10-04,Mallbacken - Gamla Upsala 1:2,Sweden. Elitettan,95,Mallbacken,4-2-3-1 (100.0%),1,1.47,16,2,12.5,372,235,63.17,55.02,170,24,56,90,113,43,49,21,203,104,51.23,14,5,35.71,20,84,28,33.33,8,5,62.5,67,49,73.13,160,72,45,70,19,27.14,73,35,47.95,15.93,2.28,6.32
,,,,Gamla Upsala,4-4-2 (98.0%),2,2.02,8,5,62.5,263,147,55.89,44.98,181,40,81,60,84,42,28,14,203,97,47.78,8,1,12.5,8,67,18,26.87,16,2,12.5,84,56,66.67,131,50,38.17,37,14,37.84,69,29,42.03,13.78,1.79,6.67
2025-09-26,Örebro SK - Mallbacken 4:0,Sweden. Elitettan,92,Mallbacken,4-1-4-1 (100.0%),0,0.27,6,1,16.67,351,247,70.37,45.62,140,24,50,66,90,42,38,10,164,84,51.22,11,6,54.55,8,56,17,30.36,18,10,55.56,69,49,71.01,153,88,57.52,65,29,44.62,76,51,67.11,13.92,2.85,15.88
,,,,Örebro SK,3-4-3 (100.0%),4,1.98,18,10,55.56,484,381,78.72,54.38,139,17,50,72,95,47,38,10,164,76,46.34,14,9,64.29,27,69,20,28.99,6,1,16.67,56,39,69.64,174,114,65.52,62,34,54.84,100,66,66,16.11,4.21,11.17
2025-09-21,Mallbacken - Sunnanå 1:0,Sweden. Elitettan,95,Mallbacken,4-4-2 (100.0%),1,1.8,7,5,71.43,450,319,70.89,57.61,146,24,52,70,99,47,38,14,208,104,50,18,4,22.22,16,81,29,35.8,5,1,20,76,50,65.79,166,97,58.43,62,26,41.94,78,45,57.69,14.97,3.02,12.15
,,,,Sunnanå,5-4-1 (100.0%),0,0.41,5,1,20,312,191,61.22,42.39,164,28,59,77,88,46,33,9,208,96,46.15,14,3,21.43,6,76,26,34.21,7,5,71.43,81,52,64.2,135,60,44.44,58,17,29.31,57,28,49.12,14.11,2.31,8.13
2025-09-13,Mallbacken - Team TG FF 0:1,Sweden. Elitettan,96,Mallbacken,4-2-3-1 (100.0%),0,0.39,7,1,14.29,474,323,68.14,54.09,178,31,59,88,112,43,49,20,291,128,43.99,22,8,36.36,18,124,23,18.55,11,2,18.18,86,64,74.42,197,109,55.33,78,39,50,110,67,60.91,16.12,3.12,4.3
,,,,Team TG FF,4-4-2 (100.0%),1,1.23,11,2,18.18,349,225,64.47,45.91,193,50,70,73,122,52,45,25,291,153,52.58,10,0,0,20,86,22,25.58,7,1,14.29,124,101,81.45,156,78,50,54,27,50,84,35,41.67,13.99,2.42,6.41
2025-09-06,Häcken II - Mallbacken 3:0,Sweden. Elitettan,100,Mallbacken,4-2-3-1 (63.03%),0,1.31,17,6,35.29,332,245,73.8,31.64,107,21,43,43,82,32,33,17,204,94,46.08,15,5,33.33,17,71,6,8.45,11,5,45.45,91,64,70.33,132,86,65.15,44,29,65.91,84,55,65.48,17.86,2.77,16.92
,,,,Häcken II,4-3-3 (100.0%),3,1.99,11,5,45.45,560,481,85.89,68.36,112,24,39,49,90,36,43,11,204,106,51.96,15,5,33.33,23,91,27,29.67,17,6,35.29,71,65,91.55,163,121,74.23,62,46,74.19,83,60,72.29,13.95,4.52,4.94
2025-08-30,Uppsala - Mallbacken 6:1,Sweden. Elitettan,94,Mallbacken,4-2-3-1 (100.0%),1,0.94,7,4,57.14,285,203,71.23,36.23,127,24,56,47,84,33,42,9,266,120,45.11,12,4,33.33,10,94,20,21.28,23,9,39.13,101,62,61.39,124,74,59.68,45,25,55.56,65,46,70.77,15.81,2.1,6.9
,,,,Uppsala,3-5-2 (100.0%),6,5.55,23,9,39.13,490,401,81.84,63.77,124,18,51,55,94,36,48,10,266,137,51.5,17,7,41.18,40,101,39,38.61,7,4,57.14,94,74,78.72,178,140,78.65,64,55,85.94,108,85,78.7,15.44,3.6,5.47
2025-08-23,Elfsborg - Mallbacken 0:1,Sweden. Elitettan,99,Mallbacken,4-2-3-1 (100.0%),1,0.96,5,3,60,405,287,70.86,42.87,162,37,74,51,99,51,36,12,243,134,55.14,8,2,25,5,97,27,27.84,11,6,54.55,91,72,79.12,172,100,58.14,41,12,29.27,67,30,44.78,17.41,2.89,10.69
,,,,Elfsborg,4-2-3-1 (100.0%),0,0.97,11,6,54.55,511,373,72.99,57.13,154,20,62,72,108,37,47,24,243,105,43.21,36,12,33.33,28,91,19,20.88,5,3,60,97,70,72.16,192,114,59.38,57,31,54.39,99,59,59.6,16.49,3.55,7.36
2025-08-16,Mallbacken - Bollstanäs 2:1,Sweden. Elitettan,96,Mallbacken,4-2-3-1 (100.0%),2,2.43,10,5,50,353,223,63.17,50.98,162,27,64,71,87,33,41,13,222,124,55.86,16,5,31.25,19,73,18,24.66,12,5,41.67,98,77,78.57,143,71,49.65,50,24,48,74,36,48.65,15.02,2.45,6.58
,,,,Bollstanäs,4-2-3-1 (100.0%),1,0.91,12,5,41.67,292,186,63.7,49.02,153,32,63,58,109,48,43,18,222,91,40.99,16,2,12.5,13,98,21,21.43,10,5,50,73,55,75.34,139,70,50.36,45,18,40,75,37,49.33,12.92,2.18,4.69
2025-08-02,Mallbacken - Trelleborgs 0:3,Sweden. Elitettan,92,Mallbacken,4-4-2 (100.0%),0,0.33,6,1,16.67,377,265,70.29,38.21,140,25,71,44,105,60,38,7,192,82,42.71,8,5,62.5,11,59,8,13.56,19,10,52.63,83,54,65.06,162,94,58.02,41,18,43.9,70,32,45.71,18.13,3.09,10.27
,,,,Trelleborgs,4-2-3-1 (100.0%),3,3.5,19,9,47.37,605,485,80.17,61.79,156,9,64,83,112,32,60,20,192,106,55.21,12,2,16.67,22,83,29,34.94,6,2,33.33,59,51,86.44,231,158,68.4,85,52,61.18,91,73,80.22,18,4.38,5.94
2025-07-27,Gamla Upsala - Mallbacken 6:1,Sweden. Elitettan,92,Mallbacken,4-4-1-1 (81.96%),1,1.8,16,7,43.75,360,264,73.33,42.89,131,16,48,67,87,35,36,16,222,113,50.9,11,3,27.27,17,96,28,29.17,9,8,88.89,94,66,70.21,151,89,58.94,60,31,51.67,64,42,65.63,15.99,2.93,11.6
,,,,Gamla Upsala,4-3-1-2 (100.0%),6,2.89,9,8,88.89,505,404,80,57.11,140,26,58,56,87,45,29,13,222,104,46.85,13,8,61.54,20,94,28,29.79,16,7,43.75,96,68,70.83,172,110,63.95,46,24,52.17,82,38,46.34,16.85,3.85,7.65
2025-06-19,Mallbacken - Uppsala 0:2,Sweden. Elitettan,97,Mallbacken,4-1-4-1 (100.0%),0,0.32,4,0,0,288,181,62.85,51.95,168,39,81,48,90,48,34,8,296,135,45.61,8,4,50,11,101,29,28.71,17,8,47.06,120,77,64.17,133,70,52.63,37,16,43.24,84,36,42.86,13.39,1.93,7.9
,,,,Uppsala,3-5-2 (100.0%),2,4.68,17,6,35.29,283,168,59.36,48.05,155,15,58,82,106,30,52,24,296,145,48.99,25,8,32,40,120,43,35.83,4,0,0,101,72,71.29,151,78,51.66,54,19,35.19,73,44,60.27,14.23,1.98,3.84
2025-06-14,Sunnanå - Mallbacken 0:2,Sweden. Elitettan,93,Mallbacken,4-1-4-1 (100.0%),2,2.01,14,7,50,532,432,81.2,63.02,140,12,60,68,97,24,58,15,215,110,51.16,17,4,23.53,17,102,41,40.2,6,0,0,66,50,75.76,170,112,65.88,61,30,49.18,75,50,66.67,15.77,3.72,10.31
,,,,Sunnanå,3-4-3 (100.0%),0,0.48,6,0,0,344,245,71.22,36.98,131,22,61,48,81,39,35,7,215,96,44.65,12,3,25,9,66,16,24.24,14,7,50,102,61,59.8,135,78,57.78,37,15,40.54,65,35,53.85,17.37,2.61,9.88
2025-06-07,Mallbacken - Elfsborg 1:6,Sweden. Elitettan,94,Mallbacken,4-2-3-1 (100.0%),1,1.42,6,3,50,410,272,66.34,47.93,168,37,70,61,117,55,49,13,264,105,39.77,14,4,28.57,14,88,15,17.05,17,11,64.71,99,68,68.69,183,94,51.37,59,22,37.29,92,44,47.83,17.61,2.89,12.84
,,,,Elfsborg,4-2-3-1 (100.0%),6,2,17,11,64.71,378,257,67.99,52.07,169,28,67,74,105,32,49,24,264,144,54.55,28,13,46.43,33,99,31,31.31,6,3,50,88,73,82.95,154,82,53.25,56,30,53.57,92,52,56.52,14.95,2.76,6.1
2025-05-24,Mallbacken - Häcken II 1:1,Sweden. Elitettan,92,Mallbacken,4-2-3-1 (100.0%),1,1.01,8,5,62.5,345,237,68.7,37.27,147,33,47,67,101,38,37,26,269,135,50.19,16,4,25,12,91,23,25.27,14,7,50,132,92,69.7,144,79,54.86,52,27,51.92,80,46,57.5,16.75,2.52,6.8
,,,,Häcken II,4-3-3 (100.0%),1,2.94,14,7,50,478,356,74.48,62.73,155,37,49,69,102,39,44,19,269,128,47.58,22,7,31.82,30,132,40,30.3,8,5,62.5,91,68,74.73,170,102,60,69,42,60.87,91,56,61.54,13.79,3.27,5.78
2025-05-18,Team TG FF - Mallbacken 1:0,Sweden. Elitettan,93,Mallbacken,4-2-3-1 (69.96%),0,0.71,7,2,28.57,519,406,78.23,54.78,159,24,68,67,122,45,65,12,256,117,45.7,10,3,30,12,100,36,36,12,8,66.67,76,54,71.05,190,109,57.37,61,27,44.26,84,56,66.67,16.18,3.6,7.13
,,,,Team TG FF,4-4-2 (100.0%),1,1.33,12,8,66.67,442,322,72.85,45.22,165,25,82,58,117,48,55,14,256,127,49.61,11,4,36.36,13,76,22,28.95,7,3,42.86,100,64,64,204,118,57.84,52,25,48.08,101,51,50.5,16.69,3.45,10.1
2025-05-10,Mallbacken - Eskilstuna United 1:1,Sweden. Elitettan,93,Mallbacken,4-2-3-1 (100.0%),1,0.39,6,2,33.33,408,242,59.31,55.5,200,54,73,73,111,49,46,16,234,123,52.56,20,4,20,13,83,22,26.51,15,4,26.67,112,84,75,183,79,43.17,60,25,41.67,111,42,37.84,15.68,2.79,6.23
,,,,Eskilstuna United,4-4-2 (48.43%),1,1.5,15,4,26.67,329,175,53.19,44.5,203,33,74,96,106,33,51,22,234,104,44.44,31,10,32.26,19,112,28,25,6,3,50,83,61,73.49,151,69,45.7,59,30,50.85,92,44,47.83,15.77,2.16,8.2
2025-05-01,Jitex - Mallbacken 4:3,Sweden. Elitettan,95,Mallbacken,4-2-3-1 (100.0%),3,1.49,13,6,46.15,398,262,65.83,53.07,154,21,67,66,98,37,47,14,247,118,47.77,20,7,35,23,91,23,25.27,14,6,42.86,98,70,71.43,156,75,48.08,56,21,37.5,84,38,45.24,14.27,3.09,13.8
,,,,Jitex,3-5-2 (100.0%),4,2.29,14,6,42.86,377,261,69.23,46.93,169,28,69,72,102,37,47,18,247,121,48.99,17,9,52.94,24,98,28,28.57,13,6,46.15,91,68,74.73,154,88,57.14,55,27,49.09,84,43,51.19,15.28,2.86,8.09
2025-04-26,Mallbacken - Umeå 2:2,Sweden. Elitettan,95,Mallbacken,4-2-3-1 (100.0%),2,0.98,6,3,50,259,137,52.9,40.68,164,31,73,60,85,33,42,10,178,82,46.07,10,4,40,11,51,14,27.45,20,7,35,72,41,56.94,130,52,40,48,19,39.58,71,29,40.85,13.79,1.86,11.81
,,,,Umeå,4-4-2 (100.0%),2,2.79,20,7,35,356,222,62.36,59.32,171,25,76,70,107,39,46,22,178,90,50.56,22,9,40.91,28,72,31,43.06,6,3,50,51,37,72.55,168,81,48.21,54,26,48.15,84,45,53.57,13,2.42,4.14
2025-04-18,Mallbacken - Örebro SK 1:1,Sweden. Elitettan,96,Mallbacken,4-2-3-1 (100.0%),1,0.5,6,2,33.33,341,240,70.38,38.69,152,37,58,57,87,39,33,15,253,103,40.71,18,8,44.44,18,93,24,25.81,19,5,26.32,101,62,61.39,143,89,62.24,44,22,50,82,49,59.76,15.75,2.49,12.69
,,,,Örebro SK,4-4-1-1 (100.0%),1,2.06,19,4,21.05,537,422,78.58,61.31,136,26,45,65,106,42,44,20,253,136,53.75,25,8,32,30,101,39,38.61,6,4,66.67,93,69,74.19,163,110,67.48,67,43,64.18,92,64,69.57,15.65,3.95,6.03
2025-04-12,Bollstanäs - Mallbacken 2:2,Sweden. Elitettan,93,Mallbacken,4-2-3-1 (100.0%),2,1.65,6,4,66.67,388,261,67.27,45.59,165,37,56,72,85,44,27,14,239,121,50.63,21,4,19.05,15,93,24,25.81,22,10,45.45,109,78,71.56,173,103,59.54,55,24,43.64,75,38,50.67,16.4,2.5,12.95
,,,,Bollstanäs,4-2-3-1 (63.08%),2,2.21,22,9,40.91,421,311,73.87,54.41,141,27,41,73,118,51,47,20,239,115,48.12,29,7,24.14,26,109,31,28.44,6,4,66.67,93,69,74.19,178,110,61.8,78,48,61.54,92,62,67.39,14.91,2.99,6.2
