Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Total Shots,Shot On Target,Shots On Target %,Total Passes,Accurate Passes,Accurate Passes %,"Possession, %",Total Losses,Low Losses,Medium Losses,High Losses,Total Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Total Duels,Duels Won,Duels Won %,Total Crosses,Accurate Crosses,Accurate Crosses %,Touches in penalty area,Total Offensive Duels,Offensive Duels Won,,Total Shots Against,Shots Against On Target,Shots Against On Target %,Total Defensive Duels,Defensive Duels Won,Defensive Duels Won %,Total Forward Passes,Accurate Forward Passes,Accurate Forward Passes %,Total Passes To The Final Third,Accurate Passes To The Final Third,Accurate Passes To The Final Third %,Total Progressive Passes,Accurate Progressive Passes,Accurate Progressive Passes %,Match tempo,Average passes per possession,PPDA
Sunnanå,,,,,,1.00,1.21,11.28,4.12,36.52,331.20,230.88,69.71,42.31,140.92,28.88,54.36,57.68,90.76,42.00,35.56,13.20,235.16,111.72,47.51,11.36,3.20,28.17,14.16,84.84,25.32,29.84,16.04,6.72,41.90,99.56,65.36,65.65,139.40,79.48,57.02,44.76,21.80,48.70,70.60,36.88,52.24,15.14,2.59,11.05
Opponents,,,,,,1.88,2.08,16.04,6.36,39.65,474.44,371.68,78.34,57.69,135.24,23.28,48.08,63.88,96.72,38.28,40.76,17.68,235.16,116.28,49.45,19.60,6.28,32.04,26.00,99.56,34.20,34.35,11.28,4.44,39.36,84.84,59.52,70.16,174.48,115.60,66.25,60.80,37.08,60.99,85.36,57.08,66.87,15.74,3.59,6.88
2025-11-15,KIF Örebro - Sunnanå 5:4,Sweden. Elitettan,96,Sunnanå,4-1-4-1 (100.0%),4,2.03,12,3,25,274,182,66.42,34.29,144,26,66,52,98,46,41,11,248,116,46.77,10,4,40,19,89,29,32.58,25,13,52,90,61,67.78,124,67,54.03,43,20,46.51,62,32,51.61,15.12,2.23,11.06
,,,,KIF Örebro,4-1-3-2 (100.0%),5,4.56,25,13,52,571,475,83.19,65.71,128,15,64,49,104,32,55,17,248,120,48.39,16,7,43.75,44,90,29,32.22,12,5,41.67,89,60,67.42,213,155,72.77,69,49,71.01,105,73,69.52,16.45,4.68,5.03
2025-11-08,Sunnanå - Elfsborg 1:2,Sweden. Elitettan,97,Sunnanå,4-1-4-1 (100.0%),1,2.62,21,8,38.1,388,287,73.97,51.06,135,22,60,53,109,35,48,26,176,83,47.16,13,2,15.38,24,60,23,38.33,14,9,64.29,64,40,62.5,149,97,65.1,30,18,60,65,34,52.31,14.29,3.01,8.29
,,,,Elfsborg,4-1-4-1 (100.0%),2,1.85,14,7,50,417,302,72.42,48.94,151,41,49,61,93,44,39,10,176,81,46.02,21,4,19.05,21,64,24,37.5,21,8,38.1,60,37,61.67,159,99,62.26,45,19,42.22,77,41,53.25,16.02,3.16,7.75
2025-11-02,Jitex - Sunnanå 4:3,Sweden. Elitettan,97,Sunnanå,4-1-4-1 (100.0%),3,1.92,18,10,55.56,314,209,66.56,44.56,152,42,52,58,99,46,36,17,242,128,52.89,15,3,20,16,78,29,37.18,23,9,39.13,109,79,72.48,122,67,54.92,44,24,54.55,76,43,56.58,13.88,2.49,8.83
,,,,Jitex,3-5-2 (100.0%),4,3.65,23,8,34.78,455,333,73.19,55.44,130,24,50,56,92,40,36,16,242,109,45.04,25,11,44,38,109,30,27.52,18,10,55.56,78,49,62.82,187,120,64.17,56,27,48.21,95,66,69.47,16.16,3.37,6.91
2025-10-19,Sunnanå - Bollstanäs 1:2,Sweden. Elitettan,100,Sunnanå,4-1-4-1 (100.0%),1,1.88,16,5,31.25,329,229,69.6,51.32,143,15,53,75,85,35,27,23,255,117,45.88,24,10,41.67,22,110,37,33.64,11,6,54.55,88,60,68.18,142,86,60.56,52,29,55.77,79,53,67.09,14.98,2.3,4.85
,,,,Bollstanäs,4-1-3-2 (70.19%),2,1.98,11,5,45.45,317,216,68.14,48.68,147,35,48,64,96,46,41,9,255,130,50.98,11,2,18.18,14,88,28,31.82,16,6,37.5,110,73,66.36,156,81,51.92,56,29,51.79,68,36,52.94,15.22,2.28,6.67
2025-10-11,Häcken II - Sunnanå 1:1,Sweden. Elitettan,97,Sunnanå,4-1-4-1 (100.0%),1,3.56,23,5,21.74,352,245,69.6,41.59,135,15,36,84,99,34,34,31,191,95,49.74,21,5,23.81,27,72,27,37.5,8,5,62.5,83,55,66.27,120,72,60,61,37,60.66,68,47,69.12,14.94,2.55,10.72
,,,,Häcken II,5-3-2 (100.0%),1,1.24,8,5,62.5,547,454,83,58.41,142,48,50,44,96,56,29,11,191,94,49.21,8,3,37.5,9,83,28,33.73,23,6,26.09,72,45,62.5,194,127,65.46,41,23,56.1,76,33,43.42,16.54,4.24,11.22
2025-10-05,Sunnanå - Trelleborgs 2:3,Sweden. Elitettan,102,Sunnanå,4-3-3 (100.0%),2,0.77,7,4,57.14,321,217,67.6,39.33,147,38,42,67,96,48,32,16,266,127,47.74,11,1,9.09,19,100,29,29,22,11,50,115,71,61.74,136,73,53.68,46,20,43.48,57,30,52.63,15.68,2.57,7.88
