Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Total Shots,Shot On Target,Shots On Target %,Total Passes,Accurate Passes,Accurate Passes %,"Possession, %",Total Losses,Low Losses,Medium Losses,High Losses,Total Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Total Duels,Duels Won,Duels Won %,Total Crosses,Accurate Crosses,Accurate Crosses %,Touches in penalty area,Total Offensive Duels,Offensive Duels Won,,Total Shots Against,Shots Against On Target,Shots Against On Target %,Total Defensive Duels,Defensive Duels Won,Defensive Duels Won %,Total Forward Passes,Accurate Forward Passes,Accurate Forward Passes %,Total Passes To The Final Third,Accurate Passes To The Final Third,Accurate Passes To The Final Third %,Total Progressive Passes,Accurate Progressive Passes,Accurate Progressive Passes %,Match tempo,Average passes per possession,PPDA
Team TG FF,,,,,,0.88,1.03,9.58,3.73,38.96,331.00,234.50,70.85,39.31,142.19,33.73,58.04,50.42,90.35,44.77,33.65,11.92,236.81,111.81,47.21,8.65,2.54,29.33,11.15,79.92,20.88,26.13,15.73,5.92,37.65,97.42,64.42,66.13,143.42,82.31,57.39,41.65,20.19,48.48,71.38,35.31,49.46,15.67,2.71,12.10
Opponents,,,,,,2.27,2.01,15.73,5.65,35.94,515.46,406.92,78.94,60.69,137.92,18.85,46.62,72.46,100.62,34.19,44.73,21.69,236.81,116.54,49.21,20.96,7.35,35.05,24.69,97.42,33.00,33.87,9.58,3.88,40.56,79.96,59.04,73.83,181.31,120.54,66.48,67.38,40.58,60.22,86.19,58.50,67.87,15.62,4.08,6.67
2025-11-15,Team TG FF - Gamla Upsala 2:2,Sweden. Elitettan,96,Team TG FF,4-4-2 (100.0%),2,1.44,9,2,22.22,422,336,79.62,56.89,136,25,42,69,87,31,42,14,255,111,43.53,19,8,42.11,19,91,16,17.58,11,5,45.45,77,54,70.13,146,91,62.33,53,24,45.28,56,35,62.5,15.02,3.84,8.23
,,,,Gamla Upsala,5-4-1 (100.0%),2,1.3,11,5,45.45,282,203,71.99,43.11,128,28,52,48,96,42,39,15,255,134,52.55,19,7,36.84,13,77,23,29.87,9,2,22.22,91,75,82.42,97,59,60.82,30,15,50,56,33,58.93,13.25,2.52,9.41
2025-11-08,Häcken II - Team TG FF 1:1,Sweden. Elitettan,95,Team TG FF,4-4-2 (100.0%),1,1.9,17,6,35.29,264,180,68.18,27.4,126,23,44,59,79,31,33,15,179,84,46.93,11,3,27.27,18,59,22,37.29,9,2,22.22,87,50,57.47,111,68,61.26,30,14,46.67,59,33,55.93,16.23,2.49,15.41
,,,,Häcken II,4-3-1-2 (100.0%),1,0.93,9,2,22.22,662,566,85.5,72.6,127,24,50,53,86,39,30,17,179,92,51.4,18,5,27.78,13,87,37,42.53,17,6,35.29,59,37,62.71,174,117,67.24,57,30,52.63,76,46,60.53,15.36,6.13,7.63
2025-11-02,Team TG FF - Örebro SK 0:1,Sweden. Elitettan,96,Team TG FF,4-4-2 (100.0%),0,0.52,7,3,42.86,335,222,66.27,43.08,136,19,58,59,84,31,43,10,288,129,44.79,14,6,42.86,13,102,14,13.73,15,6,40,98,68,69.39,135,69,51.11,51,22,43.14,76,46,60.53,14.79,2.45,9.56
,,,,Örebro SK,3-4-3 (100.0%),1,1.51,15,6,40,455,355,78.02,56.92,143,18,63,62,104,41,47,16,288,147,51.04,10,5,50,17,98,30,30.61,7,4,57.14,102,88,86.27,157,97,61.78,45,28,62.22,78,51,65.38,15.2,3.2,5.98
2025-10-18,Elfsborg - Team TG FF 1:2,Sweden. Elitettan,99,Team TG FF,4-4-2 (100.0%),2,1.21,11,6,54.55,314,214,68.15,39.93,136,25,57,54,100,51,34,15,223,121,54.26,12,2,16.67,7,78,29,37.18,12,3,25,111,75,67.57,144,82,56.94,47,23,48.94,71,43,60.56,14.8,2.73,9.44
,,,,Elfsborg,4-4-2 (100.0%),1,1.33,12,3,25,516,400,77.52,60.07,147,26,54,67,81,30,38,13,223,97,43.5,22,9,40.91,27,111,36,32.43,11,6,54.55,78,49,62.82,167,101,60.48,54,32,59.26,101,61,60.4,16.17,4.03,9.76
2025-10-11,Team TG FF - Jitex 0:2,Sweden. Elitettan,95,Team TG FF,4-4-2 (100.0%),0,0.36,7,2,28.57,297,201,67.68,42.92,108,17,46,45,70,34,26,10,288,145,50.35,9,1,11.11,6,85,22,25.88,11,4,36.36,118,82,69.49,132,66,50,38,15,39.47,66,34,51.52,14.26,2.4,8.73
