Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Total Shots,Shot On Target,Shots On Target %,Total Passes,Accurate Passes,Accurate Passes %,"Possession, %",Total Losses,Low Losses,Medium Losses,High Losses,Total Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Total Duels,Duels Won,Duels Won %,Total Crosses,Accurate Crosses,Accurate Crosses %,Touches in penalty area,Total Offensive Duels,Offensive Duels Won,,Total Shots Against,Shots Against On Target,Shots Against On Target %,Total Defensive Duels,Defensive Duels Won,Defensive Duels Won %,Total Forward Passes,Accurate Forward Passes,Accurate Forward Passes %,Total Passes To The Final Third,Accurate Passes To The Final Third,Accurate Passes To The Final Third %,Total Progressive Passes,Accurate Progressive Passes,Accurate Progressive Passes %,Match tempo,Average passes per possession,PPDA
Trelleborgs,,,,,,2.00,1.94,16.92,7.08,41.84,526.04,417.16,79.30,57.98,140.24,21.36,52.16,66.72,98.48,37.80,41.92,18.76,220.04,103.44,47.01,19.40,5.88,30.31,30.36,95.72,30.80,32.18,9.12,4.16,45.61,75.84,52.64,69.41,189.12,132.60,70.11,63.00,42.48,67.43,91.52,61.92,67.66,16.46,4.06,7.52
Opponents,,,,,,1.08,1.10,9.12,3.80,41.67,363.68,262.48,72.17,42.02,140.56,32.36,52.88,55.32,93.56,43.20,37.88,12.48,220.04,109.52,49.77,12.64,4.16,32.91,14.32,75.84,23.20,30.59,16.92,7.44,43.97,95.68,64.88,67.81,147.04,86.96,59.14,49.44,26.04,52.67,75.88,42.00,55.35,15.84,2.95,11.19
2025-11-15,Trelleborgs - Bollstanäs 3:1,Sweden. Elitettan,95,Trelleborgs,4-2-3-1 (71.85%),3,1.72,15,7,46.67,564,464,82.27,64.39,134,14,53,67,87,37,35,15,218,76,34.86,26,3,11.54,31,129,31,24.03,12,6,50,49,33,67.35,192,149,77.6,54,42,77.78,93,66,70.97,15.39,3.89,8.58
,,,,Bollstanäs,4-4-2 (100.0%),1,0.97,12,5,41.67,297,196,65.99,35.61,130,34,40,56,95,49,38,8,218,136,62.39,11,4,36.36,8,49,16,32.65,15,7,46.67,129,98,75.97,129,63,48.84,55,22,40,63,37,58.73,14.66,2.25,13.75
2025-11-08,Umeå - Trelleborgs 3:2,Sweden. Elitettan,102,Trelleborgs,4-2-3-1 (100.0%),2,1.57,15,4,26.67,316,217,68.67,41.09,145,36,71,38,107,64,25,18,229,105,45.85,11,3,27.27,13,81,31,38.27,23,13,56.52,85,51,60,135,80,59.26,27,16,59.26,74,31,41.89,14.65,2.66,11.75
,,,,Umeå,4-2-3-1 (100.0%),3,3.72,23,12,52.17,462,352,76.19,58.91,136,19,34,83,95,20,54,21,229,113,49.34,25,8,32,39,85,34,40,15,6,40,81,50,61.73,168,108,64.29,71,45,63.38,82,57,69.51,14.94,3.58,4.63
2025-11-01,Trelleborgs - Mallbacken 4:1,Sweden. Elitettan,95,Trelleborgs,4-2-3-1 (100.0%),4,2.33,17,10,58.82,604,493,81.62,62.64,142,8,54,80,103,25,53,25,216,87,40.28,20,2,10,36,118,35,29.66,4,4,100,59,38,64.41,193,143,74.09,62,44,70.97,76,57,75,16.99,4.47,6.04
,,,,Mallbacken,4-2-3-1 (100.0%),1,0.54,4,3,75,362,242,66.85,37.36,153,45,69,39,95,53,38,4,216,124,57.41,12,5,41.67,10,59,21,35.59,17,10,58.82,118,83,70.34,161,86,53.42,37,16,43.24,77,39,50.65,17.08,2.99,15.14
2025-10-18,Eskilstuna United - Trelleborgs 2:0,Sweden. Elitettan,95,Trelleborgs,4-4-1-1 (100.0%),0,0.19,1,1,100,526,426,80.99,52.28,134,32,53,49,81,42,33,6,218,87,39.91,8,3,37.5,5,76,11,14.47,14,5,35.71,100,62,62,197,132,67.01,58,35,60.34,87,51,58.62,17.2,4.57,8.55
,,,,Eskilstuna United,4-4-2 (100.0%),2,1.84,14,3,21.43,402,316,78.61,47.72,119,20,40,59,95,26,47,22,218,127,58.26,27,9,33.33,25,100,38,38,1,1,100,76,65,85.53,152,109,71.71,55,40,72.73,79,60,75.95,14.4,3.27,9.09
