Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Total Shots,Shot On Target,Shots On Target %,Total Passes,Accurate Passes,Accurate Passes %,"Possession, %",Total Losses,Low Losses,Medium Losses,High Losses,Total Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Total Duels,Duels Won,Duels Won %,Total Crosses,Accurate Crosses,Accurate Crosses %,Touches in penalty area,Total Offensive Duels,Offensive Duels Won,,Total Shots Against,Shots Against On Target,Shots Against On Target %,Total Defensive Duels,Defensive Duels Won,Defensive Duels Won %,Total Forward Passes,Accurate Forward Passes,Accurate Forward Passes %,Total Passes To The Final Third,Accurate Passes To The Final Third,Accurate Passes To The Final Third %,Total Progressive Passes,Accurate Progressive Passes,Accurate Progressive Passes %,Match tempo,Average passes per possession,PPDA
Umeå,,,,,,2.04,2.18,15.38,6.04,39.25,453.19,354.15,78.15,55.87,132.31,22.96,48.31,61.04,94.50,34.65,41.00,18.85,214.65,105.23,49.02,17.50,6.08,34.73,24.54,84.54,28.62,33.85,10.31,4.12,39.93,76.23,53.77,70.53,169.04,111.88,66.19,58.65,37.38,63.74,83.42,54.88,65.79,15.13,3.72,8.14
Opponents,,,,,,0.88,1.21,10.31,3.96,38.43,376.73,278.12,73.82,44.13,135.58,28.46,55.00,52.12,87.85,41.50,32.27,14.08,214.65,101.08,47.09,11.31,3.65,32.31,13.92,76.23,22.42,29.41,15.38,6.31,41.00,84.58,55.92,66.12,147.88,89.54,60.55,45.54,24.42,53.63,75.15,39.58,52.66,15.71,3.12,11.40
2025-11-15,Elfsborg - Umeå 1:0,Sweden. Elitettan,96,Umeå,4-4-2 (100.0%),0,3.85,24,9,37.5,449,375,83.52,64.08,116,8,45,63,98,28,50,20,292,146,50,23,11,47.83,35,125,51,40.8,9,5,55.56,76,54,71.05,165,127,76.97,75,55,73.33,95,75,78.95,14.1,3.62,4.66
,,,,Elfsborg,4-1-4-1 (100.0%),1,1.34,9,5,55.56,306,218,71.24,35.92,113,33,51,29,66,41,22,3,292,131,44.86,11,7,63.64,15,76,22,28.95,24,9,37.5,125,74,59.2,129,78,60.47,29,16,55.17,84,37,44.05,17.14,2.76,10.25
2025-11-08,Umeå - Trelleborgs 3:2,Sweden. Elitettan,102,Umeå,4-2-3-1 (100.0%),3,3.72,23,12,52.17,462,352,76.19,58.91,136,19,34,83,95,20,54,21,229,113,49.34,25,8,32,39,85,34,40,15,6,40,81,50,61.73,168,108,64.29,71,45,63.38,82,57,69.51,14.94,3.58,4.63
,,,,Trelleborgs,4-2-3-1 (100.0%),2,1.57,15,4,26.67,316,217,68.67,41.09,145,36,71,38,107,64,25,18,229,105,45.85,11,3,27.27,13,81,31,38.27,23,13,56.52,85,51,60,135,80,59.26,27,16,59.26,74,31,41.89,14.65,2.66,11.75
2025-11-01,Uppsala - Umeå 2:0,Sweden. Elitettan,98,Umeå,4-2-3-1 (100.0%),0,0.56,11,3,27.27,382,237,62.04,51.05,178,23,71,84,108,38,49,21,214,116,54.21,24,2,8.33,16,80,33,41.25,9,4,44.44,80,57,71.25,190,101,53.16,59,34,57.63,84,48,57.14,14.8,2.71,7.46
,,,,Uppsala,3-5-2 (100.0%),2,1.58,9,4,44.44,353,228,64.59,48.95,187,33,82,72,121,59,51,11,214,94,43.93,12,1,8.33,22,80,23,28.75,11,3,27.27,80,47,58.75,177,94,53.11,57,30,52.63,104,52,50,14.26,2.54,6.09
2025-10-18,Umeå - Jitex 3:3,Sweden. Elitettan,94,Umeå,4-2-3-1 (100.0%),3,2.75,24,10,41.67,515,388,75.34,64.6,150,10,43,97,117,27,51,39,231,121,52.38,43,14,32.56,37,83,36,43.37,10,7,70,67,50,74.63,189,129,68.25,72,48,66.67,102,79,77.45,15.49,3.99,6.08
,,,,Jitex,3-5-2 (100.0%),3,2.25,10,7,70,298,206,69.13,35.4,155,53,55,47,106,65,37,4,231,93,40.26,2,1,50,13,67,17,25.37,24,10,41.67,83,47,56.63,153,84,54.9,49,24,48.98,71,35,49.3,16.36,2.42,13.18
