Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Total Shots,Shot On Target,Shots On Target %,Total Passes,Accurate Passes,Accurate Passes %,"Possession, %",Total Losses,Low Losses,Medium Losses,High Losses,Total Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Total Duels,Duels Won,Duels Won %,Total Crosses,Accurate Crosses,Accurate Crosses %,Touches in penalty area,Total Offensive Duels,Offensive Duels Won,,Total Shots Against,Shots Against On Target,Shots Against On Target %,Total Defensive Duels,Defensive Duels Won,Defensive Duels Won %,Total Forward Passes,Accurate Forward Passes,Accurate Forward Passes %,Total Passes To The Final Third,Accurate Passes To The Final Third,Accurate Passes To The Final Third %,Total Progressive Passes,Accurate Progressive Passes,Accurate Progressive Passes %,Match tempo,Average passes per possession,PPDA
Uppsala,,,,,,2.38,2.53,17.31,6.42,37.11,417.73,314.15,75.20,56.79,142.19,17.58,51.08,73.54,101.46,34.65,46.08,20.73,265.46,130.54,49.17,21.38,7.00,32.73,33.04,107.27,36.81,34.31,9.35,3.65,39.09,96.27,68.42,71.07,170.85,113.85,66.64,65.73,42.38,64.48,87.88,61.81,70.33,14.81,3.15,5.57
Opponents,,,,,,0.88,1.08,9.35,3.42,36.63,306.46,203.81,66.50,43.21,146.04,33.73,62.31,50.00,90.08,44.35,35.27,10.46,265.46,125.62,47.32,10.69,3.35,31.29,14.62,96.27,27.85,28.93,17.31,6.77,39.11,107.27,70.46,65.69,145.31,81.69,56.22,41.85,20.62,49.26,77.85,39.58,50.84,14.26,2.32,9.03
2025-11-15,Uppsala - Häcken II 5:2,Sweden. Elitettan,94,Uppsala,3-5-2 (100.0%),5,4.28,35,12,34.29,407,330,81.08,50.72,117,12,33,72,104,30,48,26,276,126,45.65,20,8,40,49,102,31,30.39,10,6,60,118,80,67.8,147,108,73.47,68,52,76.47,93,70,75.27,15.07,3.42,4.95
,,,,Häcken II,4-3-3 (100.0%),2,0.64,10,6,60,358,268,74.86,49.28,129,43,50,36,77,45,25,7,276,138,50,4,1,25,11,118,38,32.2,35,12,34.29,102,71,69.61,148,92,62.16,23,11,47.83,64,27,42.19,13.64,2.75,15.57
2025-11-08,Örebro SK - Uppsala 1:0,Sweden. Elitettan,93,Uppsala,3-5-2 (100.0%),0,1.21,18,3,16.67,445,333,74.83,56.47,164,21,57,86,116,41,55,20,300,161,53.67,16,3,18.75,25,129,42,32.56,13,4,30.77,125,95,76,180,121,67.22,70,52,74.29,91,66,72.53,13.35,3.42,8.97
,,,,Örebro SK,3-4-3 (100.0%),1,1.27,13,4,30.77,359,251,69.92,43.53,165,28,80,57,101,53,35,13,300,134,44.67,11,2,18.18,14,125,30,24,18,3,16.67,129,87,67.44,179,102,56.98,53,30,56.6,99,57,57.58,13.97,2.58,7.45
2025-11-01,Uppsala - Umeå 2:0,Sweden. Elitettan,98,Uppsala,3-5-2 (100.0%),2,1.58,9,4,44.44,353,228,64.59,48.95,187,33,82,72,121,59,51,11,214,94,43.93,12,1,8.33,22,80,23,28.75,11,3,27.27,80,47,58.75,177,94,53.11,57,30,52.63,104,52,50,14.26,2.54,6.09
,,,,Umeå,4-2-3-1 (100.0%),0,0.56,11,3,27.27,382,237,62.04,51.05,178,23,71,84,108,38,49,21,214,116,54.21,24,2,8.33,16,80,33,41.25,9,4,44.44,80,57,71.25,190,101,53.16,59,34,57.63,84,48,57.14,14.8,2.71,7.46
2025-10-18,Gamla Upsala - Uppsala 0:5,Sweden. Elitettan,97,Uppsala,3-5-2 (100.0%),5,3.3,26,10,38.46,425,331,77.88,56.63,137,11,45,81,103,29,52,22,261,118,45.21,26,8,30.77,40,116,34,29.31,8,3,37.5,94,62,65.96,181,134,74.03,76,51,67.11,104,80,76.92,14.86,3.27,6.61
,,,,Gamla Upsala,5-3-2 (100.0%),0,0.83,8,3,37.5,314,221,70.38,43.37,142,42,60,40,92,51,34,7,261,129,49.43,11,5,45.45,14,94,32,34.04,26,10,38.46,116,82,70.69,140,85,60.71,34,17,50,75,36,48,14.34,2.28,13.68
