Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Total Shots,Shot On Target,Shots On Target %,Total Passes,Accurate Passes,Accurate Passes %,"Possession, %",Total Losses,Low Losses,Medium Losses,High Losses,Total Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Total Duels,Duels Won,Duels Won %,Total Crosses,Accurate Crosses,Accurate Crosses %,Touches in penalty area,Total Offensive Duels,Offensive Duels Won,,Total Shots Against,Shots Against On Target,Shots Against On Target %,Total Defensive Duels,Defensive Duels Won,Defensive Duels Won %,Total Forward Passes,Accurate Forward Passes,Accurate Forward Passes %,Total Passes To The Final Third,Accurate Passes To The Final Third,Accurate Passes To The Final Third %,Total Progressive Passes,Accurate Progressive Passes,Accurate Progressive Passes %,Match tempo,Average passes per possession,PPDA
Örebro SK,,,,,,1.46,1.50,12.54,5.04,40.18,389.65,283.54,72.77,46.63,141.08,25.81,56.23,59.04,93.96,41.35,38.62,14.00,232.62,111.77,48.05,14.19,4.38,30.89,17.62,82.73,24.58,29.71,13.00,5.04,38.76,97.62,65.92,67.53,157.96,93.77,59.36,49.81,26.27,52.74,80.73,47.08,58.31,15.38,3.01,10.16
Opponents,,,,,,1.38,1.46,13.00,4.81,36.98,432.88,326.12,75.34,53.37,142.19,23.19,54.35,64.65,96.27,39.23,41.19,15.85,232.62,114.00,49.01,15.69,4.65,29.66,19.15,97.62,31.69,32.47,12.54,5.35,42.64,82.73,58.15,70.29,168.54,107.81,63.97,57.54,31.92,55.48,83.35,51.54,61.84,14.96,3.37,9.16
2025-11-15,Jitex - Örebro SK 1:4,Sweden. Elitettan,95,Örebro SK,3-4-3 (100.0%),4,1.34,20,8,40,428,325,75.93,51.52,131,27,50,54,89,41,43,5,226,93,41.15,18,4,22.22,16,91,28,30.77,24,4,16.67,75,43,57.33,173,110,63.58,54,37,68.52,91,59,64.84,15.35,3.1,7.43
,,,,Jitex,4-2-3-1 (100.0%),1,4.37,24,4,16.67,409,309,75.55,48.48,131,14,55,62,94,41,36,17,226,128,56.64,16,7,43.75,31,75,32,42.67,20,9,45,91,63,69.23,174,121,69.54,47,26,55.32,82,57,69.51,15.59,2.94,11.32
2025-11-08,Örebro SK - Uppsala 1:0,Sweden. Elitettan,93,Örebro SK,3-4-3 (100.0%),1,1.27,13,4,30.77,359,251,69.92,43.53,165,28,80,57,101,53,35,13,300,134,44.67,11,2,18.18,14,125,30,24,18,3,16.67,129,87,67.44,179,102,56.98,53,30,56.6,99,57,57.58,13.97,2.58,7.45
,,,,Uppsala,3-5-2 (100.0%),0,1.21,18,3,16.67,445,333,74.83,56.47,164,21,57,86,116,41,55,20,300,161,53.67,16,3,18.75,25,129,42,32.56,13,4,30.77,125,95,76,180,121,67.22,70,52,74.29,91,66,72.53,13.35,3.42,8.97
2025-11-02,Team TG FF - Örebro SK 0:1,Sweden. Elitettan,96,Örebro SK,3-4-3 (100.0%),1,1.51,15,6,40,455,355,78.02,56.92,143,18,63,62,104,41,47,16,288,147,51.04,10,5,50,17,98,30,30.61,7,4,57.14,102,88,86.27,157,97,61.78,45,28,62.22,78,51,65.38,15.2,3.2,5.98
,,,,Team TG FF,4-4-2 (100.0%),0,0.52,7,3,42.86,335,222,66.27,43.08,136,19,58,59,84,31,43,10,288,129,44.79,14,6,42.86,13,102,14,13.73,15,6,40,98,68,69.39,135,69,51.11,51,22,43.14,76,46,60.53,14.79,2.45,9.56
2025-10-18,Örebro SK - Häcken II 3:0,Sweden. Elitettan,93,Örebro SK,5-4-1 (100.0%),3,3.39,17,9,52.94,447,375,83.89,50.17,108,11,41,56,99,33,41,25,249,114,45.78,17,4,23.53,26,106,30,28.3,7,1,14.29,113,75,66.37,151,113,74.83,41,31,75.61,62,46,74.19,14.49,3.82,9.77
,,,,Häcken II,3-5-2 (100.0%),0,0.25,7,1,14.29,480,406,84.58,49.83,128,36,56,36,101,55,39,7,249,132,53.01,5,2,40,3,113,38,33.63,17,11,64.71,106,76,71.7,166,122,73.49,37,15,40.54,65,35,53.85,15.67,4.57,12.68
2025-10-11,Örebro SK - KIF Örebro 2:3,Sweden. Elitettan,96,Örebro SK,5-4-1 (100.0%),2,1.28,9,7,77.78,264,165,62.5,33.43,145,31,76,38,72,44,17,11,174,87,50,12,3,25,17,69,27,39.13,26,10,38.46,77,49,63.64,113,55,48.67,30,16,53.33,67,22,32.84,15.12,2.11,27
,,,,KIF Örebro,4-1-3-2 (47.93%),3,4.57,26,10,38.46,555,453,81.62,66.57,109,8,34,67,97,31,48,18,174,84,48.28,22,9,40.91,36,77,28,36.36,9,7,77.78,69,42,60.87,205,153,74.63,83,53,63.86,100,75,75,15.97,4.3,4.84
2025-10-04,Örebro SK - Bollstanäs 3:0,Sweden. Elitettan,94,Örebro SK,3-4-3 (100.0%),3,3.49,15,7,46.67,555,434,78.2,53.02,147,20,54,73,108,45,49,14,237,127,53.59,18,2,11.11,30,84,29,34.52,6,3,50,92,69,75,212,143,67.45,65,38,58.46,103,61,59.22,17.51,4.14,6.64
,,,,Bollstanäs,4-1-3-2 (100.0%),0,0.18,6,3,50,420,312,74.29,46.98,143,29,57,57,111,50,44,17,237,102,43.04,11,3,27.27,11,92,23,25,15,7,46.67,84,55,65.48,177,112,63.28,64,35,54.69,91,54,59.34,14.96,3.31,11.68
2025-09-26,Örebro SK - Mallbacken 4:0,Sweden. Elitettan,92,Örebro SK,3-4-3 (100.0%),4,1.98,18,10,55.56,484,381,78.72,54.38,139,17,50,72,95,47,38,10,164,76,46.34,14,9,64.29,27,69,20,28.99,6,1,16.67,56,39,69.64,174,114,65.52,62,34,54.84,100,66,66,16.11,4.21,11.17
,,,,Mallbacken,4-1-4-1 (100.0%),0,0.27,6,1,16.67,351,247,70.37,45.62,140,24,50,66,90,42,38,10,164,84,51.22,11,6,54.55,8,56,17,30.36,18,10,55.56,69,49,71.01,153,88,57.52,65,29,44.62,76,51,67.11,13.92,2.85,15.88
2025-09-21,Eskilstuna United - Örebro SK 2:0,Sweden. Elitettan,97,Örebro SK,3-4-3 (100.0%),0,0.47,5,2,40,397,284,71.54,53.22,142,47,52,43,73,37,27,9,202,97,48.02,7,2,28.57,9,70,13,18.57,20,9,45,93,65,69.89,185,107,57.84,44,21,47.73,89,41,46.07,14.75,3.13,11
,,,,Eskilstuna United,4-4-2 (100.0%),2,2.7,20,9,45,345,244,70.72,46.78,118,15,38,65,74,21,32,21,202,100,49.5,25,7,28,26,93,28,30.11,5,2,40,70,57,81.43,155,89,57.42,53,33,62.26,74,54,72.97,14.58,2.76,9.14
2025-09-13,Örebro SK - Elfsborg 0:1,Sweden. Elitettan,94,Örebro SK,3-4-3 (47.74%),0,0.47,4,2,50,323,215,66.56,40.22,151,31,57,63,104,47,41,16,276,125,45.29,10,5,50,11,98,33,33.67,16,6,37.5,113,67,59.29,139,73,52.52,48,21,43.75,71,35,49.3,15.09,2.43,8.97
,,,,Elfsborg,4-1-4-1 (100.0%),1,2.45,16,6,37.5,473,352,74.42,59.78,172,30,58,84,112,46,44,22,276,140,50.72,23,8,34.78,24,113,46,40.71,4,2,50,98,65,66.33,180,108,60,58,35,60.34,108,65,60.19,14.87,3.38,6.33
2025-09-07,Örebro SK - Sunnanå 3:1,Sweden. Elitettan,96,Örebro SK,3-4-1-2 (68.65%),3,1.55,12,5,41.67,391,305,78.01,43.24,124,19,45,60,103,44,48,11,227,98,43.17,6,2,33.33,19,79,23,29.11,15,7,46.67,85,49,57.65,174,115,66.09,57,34,59.65,87,66,75.86,16.52,3.18,8.63
,,,,Sunnanå,5-4-1 (100.0%),1,0.98,15,7,46.67,453,336,74.17,56.76,141,11,65,65,94,40,43,11,227,121,53.3,12,4,33.33,13,85,36,42.35,12,5,41.67,79,56,70.89,179,103,57.54,62,28,45.16,89,48,53.93,14.58,3.54,11.56
2025-08-31,Gamla Upsala - Örebro SK 0:1,Sweden. Elitettan,94,Örebro SK,5-3-2 (100.0%),1,2.49,17,4,23.53,449,328,73.05,53.8,147,20,57,70,94,26,48,20,215,103,47.91,14,4,28.57,34,74,22,29.73,3,1,33.33,86,54,62.79,179,109,60.89,62,30,48.39,91,63,69.23,14.72,3.43,7.31
,,,,Gamla Upsala,4-2-3-1 (100.0%),0,0.12,3,1,33.33,430,317,73.72,46.2,148,33,69,46,90,47,31,12,215,101,46.98,13,0,0,7,86,32,37.21,17,4,23.53,74,52,70.27,173,115,66.47,43,24,55.81,85,44,51.76,16.42,3.39,12.54
2025-08-24,Umeå - Örebro SK 1:0,Sweden. Elitettan,95,Örebro SK,3-4-3 (100.0%),0,0.48,7,1,14.29,371,256,69,38.04,140,34,44,62,70,33,24,13,164,70,42.68,11,1,9.09,8,44,8,18.18,14,7,50,69,43,62.32,151,83,54.97,41,16,39.02,75,39,52,16.77,3.17,18.53
,,,,Umeå,4-3-3 (100.0%),1,1.54,14,6,42.86,576,471,81.77,61.96,131,27,40,64,99,42,30,27,164,82,50,11,2,18.18,25,69,26,37.68,7,1,14.29,44,36,81.82,192,131,68.23,73,49,67.12,85,56,65.88,15.99,4.76,9.4
2025-08-16,Örebro SK - Trelleborgs 1:2,Sweden. Elitettan,94,Örebro SK,5-4-1 (87.17%),1,1.21,10,4,40,422,299,70.85,46.98,154,30,62,62,105,53,35,17,231,117,50.65,17,6,35.29,16,80,23,28.75,15,7,46.67,102,71,69.61,185,105,56.76,62,35,56.45,93,54,58.06,17.02,3.04,12.48
,,,,Trelleborgs,4-3-3 (100.0%),2,1.93,15,6,40,469,338,72.07,53.02,150,24,51,75,106,40,50,16,231,106,45.89,20,6,30,28,102,31,30.39,10,4,40,80,57,71.25,181,111,61.33,73,38,52.05,107,61,57.01,16.76,3.66,9.66
2025-08-09,Häcken II - Örebro SK 0:2,Sweden. Elitettan,94,Örebro SK,3-4-3 (100.0%),2,2.93,25,12,48,281,219,77.94,36.15,90,11,43,36,79,38,28,13,181,89,49.17,11,6,54.55,26,63,14,22.22,3,1,33.33,87,64,73.56,124,87,70.16,38,24,63.16,70,51,72.86,13.45,2.38,15.3
,,,,Häcken II,4-2-2-2 (49.27%),0,0.24,3,1,33.33,524,439,83.78,63.85,108,19,37,52,72,33,31,8,181,85,46.96,16,1,6.25,8,87,23,26.44,25,13,52,63,49,77.78,166,120,72.29,63,41,65.08,64,44,68.75,14.2,4.9,8.18
2025-08-02,Örebro SK - Gamla Upsala 1:2,Sweden. Elitettan,98,Örebro SK,3-4-3 (72.69%),1,2.99,21,9,42.86,395,295,74.68,46.92,125,19,44,62,108,44,39,25,242,119,49.17,25,8,32,31,92,31,33.7,7,3,42.86,97,66,68.04,152,86,56.58,40,18,45,75,48,64,15.14,2.86,9.4
,,,,Gamla Upsala,4-3-1-2 (100.0%),2,0.48,7,3,42.86,485,381,78.56,53.08,137,32,49,56,84,39,29,16,242,117,48.35,15,5,33.33,8,97,31,31.96,21,9,42.86,92,61,66.3,173,118,68.21,50,18,36,76,43,56.58,16.43,3.49,8.37
2025-07-27,Trelleborgs - Örebro SK 1:0,Sweden. Elitettan,96,Örebro SK,3-5-2 (100.0%),0,0.55,8,1,12.5,318,207,65.09,36.15,139,32,58,49,75,31,35,9,214,103,48.13,12,2,16.67,11,66,24,36.36,20,8,40,94,62,65.96,135,61,45.19,44,20,45.45,72,32,44.44,15.56,2.72,14.29
,,,,Trelleborgs,4-4-2 (48.94%),1,1.4,20,8,40,516,421,81.59,63.85,130,14,50,66,103,36,47,20,214,102,47.66,16,5,31.25,22,94,32,34.04,8,1,12.5,66,42,63.64,187,141,75.4,65,47,72.31,94,69,73.4,14.29,4.61,6.23
2025-06-22,Örebro SK - Umeå 1:2,Sweden. Elitettan,95,Örebro SK,5-3-2 (100.0%),1,0.61,6,4,66.67,301,195,64.78,36.75,128,15,51,62,82,26,36,20,196,89,45.41,10,2,20,6,64,17,26.56,10,5,50,79,54,68.35,127,67,52.76,44,21,47.73,62,30,48.39,16.07,2.45,9.71
,,,,Umeå,4-2-3-1 (100.0%),2,0.78,10,5,50,444,336,75.68,63.25,133,25,61,47,80,31,41,8,196,100,51.02,8,2,25,14,79,25,31.65,6,5,83.33,64,47,73.44,173,114,65.9,46,17,36.96,77,38,49.35,13.77,3.55,6.87
2025-06-14,Bollstanäs - Örebro SK 0:0,Sweden. Elitettan,99,Örebro SK,3-4-3 (81.75%),0,0.91,10,1,10,396,298,75.25,53.78,129,25,43,61,91,36,38,17,211,88,41.71,16,3,18.75,14,82,25,30.49,11,1,9.09,89,47,52.81,140,93,66.43,51,29,56.86,71,48,67.61,14.94,3.07,7.12
,,,,Bollstanäs,3-4-3 (100.0%),0,0.6,11,1,9.09,322,216,67.08,46.22,141,23,50,68,74,29,30,15,211,117,55.45,19,3,15.79,22,89,42,47.19,10,1,10,82,57,69.51,122,63,51.64,35,16,45.71,64,30,46.88,14.14,2.37,8.87
2025-06-08,Uppsala - Örebro SK 3:1,Sweden. Elitettan,97,Örebro SK,3-4-3 (100.0%),1,1.46,9,2,22.22,268,162,60.45,35.71,155,29,76,50,85,40,39,6,259,124,47.88,11,4,36.36,13,75,17,22.67,18,6,33.33,131,89,67.94,136,67,49.26,30,9,30,71,37,52.11,13.72,2.16,14.3
,,,,Uppsala,3-5-2 (100.0%),3,2.39,18,6,33.33,505,386,76.44,64.29,147,16,53,78,108,36,57,15,259,131,50.58,29,9,31.03,37,131,42,32.06,9,2,22.22,75,58,77.33,212,144,67.92,85,48,56.47,98,72,73.47,14.36,3.98,4.76
2025-05-24,KIF Örebro - Örebro SK 3:1,Sweden. Elitettan,96,Örebro SK,3-5-2 (100.0%),1,0.52,12,7,58.33,313,210,67.09,41.62,135,25,59,51,90,42,39,9,278,156,56.12,13,5,38.46,13,91,36,39.56,14,6,42.86,117,86,73.5,137,72,52.55,50,22,44,79,41,51.9,15,2.27,12.24
,,,,KIF Örebro,4-1-3-2 (100.0%),3,0.96,14,5,35.71,440,333,75.68,58.38,151,18,62,71,95,40,39,16,278,117,42.09,10,3,30,19,117,31,26.5,12,7,58.33,91,55,60.44,178,114,64.04,58,39,67.24,90,57,63.33,15.03,3.03,5.04
